Bell ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Ring ID,Collection Type,Ring Size,Bell Role,Bell Name,Weight (lbs),Weight (approx),Nominal (Hz),Note,Diameter (in),Cast Date,Listed,Founder,Founder Uncertain,Caster,Canons,Turnings,Cracked,Frame ID,In Pit,Modification Date
7773,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,2575,full-circle ring,6,1,,427,,1317,E,26,2015,,John Taylor & Co,,,flat,unturned,,2,Y,09/12/2020 11:20
7774,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,2575,full-circle ring,6,2,,476,,1173,D,27.5,2015,,John Taylor & Co,,,flat,unturned,,1,Y,09/12/2020 11:20
7775,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,2575,full-circle ring,6,3,,482,,1064,C,29,1653,,George I Oldfield,,,removed,unturned,,1,Y,09/12/2020 11:20
7776,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,2575,full-circle ring,6,4,,564,,1001,B,31,c1599,Y,Newcombe (generic),,,removed,unturned,,1,Y,09/12/2020 11:20
7777,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,2575,full-circle ring,6,5,,652,,879,A,32.75,1765,,Thomas I Hedderly,,,removed,unturned,,1,Y,09/12/2020 11:20
1,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,2575,full-circle ring,6,6,,974,,783,G,37.5,1929,,John Taylor & Co,,,flat,unturned,,1,Y,09/12/2020 11:20
7778,Abbess Roding,S Edmund K&M,Essex,13760,TL571114,51.77958,0.2769,3761,full-circle ring,3 U/R,1,,280,Y,1575.5,G,23.13,c1499,Y,London ('Balcombe shield'),,,conventional,unturned,,3,Y,09/12/2020 11:20
7779,Abbess Roding,S Edmund K&M,Essex,13760,TL571114,51.77958,0.2769,3761,full-circle ring,3 U/R,2,,280,Y,1373,F,24.25,c1350,Y,(unidentified),,,conventional,unturned,,3,Y,09/12/2020 11:20
3,Abbess Roding,S Edmund K&M,Essex,13760,TL571114,51.77958,0.2769,3761,full-circle ring,3 U/R,3,,448,Y,1248,E♭,26.25,1665,,John Hodson,,,conventional,unturned,,3,Y,09/12/2020 11:20
7780,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.9686,-2.89361,6154,full-circle ring,6,1,,428,,1343.1,E,26.88,1770,,Thomas Rudhall,,,removed,quarter,,4,Y,09/12/2020 11:20
7781,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.9686,-2.89361,6154,full-circle ring,6,2,,408,,1196.6,D,27.75,1892,,Llewellins & James,,,removed,quarter,,4,Y,09/12/2020 11:20
7782,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.9686,-2.89361,6154,full-circle ring,6,3,,564,,1066,C,30.25,1710,,Abraham I Rudhall,,,removed,quarter,,4,Y,09/12/2020 11:20
7783,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.9686,-2.89361,6154,full-circle ring,6,4,,582,,1006,B,31.63,1810,,John Rudhall,,,removed,quarter,,4,Y,09/12/2020 11:20
7784,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.9686,-2.89361,6154,full-circle ring,6,5,,725,,896.4,A,34,1710,,Abraham I Rudhall,,,removed,quarter,welded,4,Y,09/12/2020 11:20
4,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.9686,-2.89361,6154,full-circle ring,6,6,,917,,798.6,G,37.5,1782,,Charles & John Rudhall,,,removed,quarter,,4,Y,09/12/2020 11:20
7785,Abbots Bickington,S James,Devon,10151,SS384132,50.89614,-4.29828,152,full-circle ring,3 U/R,1,,224,Y,1712.5,G,23.25,c1550,Y,Exeter foundry,,,conventional,,,7,Y,09/12/2020 11:20
7786,Abbots Bickington,S James,Devon,10151,SS384132,50.89614,-4.29828,152,full-circle ring,3 U/R,2,,420,Y,1523.5,F,26.25,c1550,Y,Exeter foundry,,,conventional,,,7,Y,09/12/2020 11:20
5,Abbots Bickington,S James,Devon,10151,SS384132,50.89614,-4.29828,152,full-circle ring,3 U/R,3,,560,Y,1357,D,28.25,,,(unidentified),,,,,welded,7,Y,09/12/2020 11:20
7787,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,1,,423,,1573,G,24.5,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
7788,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,2,,429,,1485,F♯,25.5,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
7789,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,3,,461,,1318.5,E,27,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
7790,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,4,,486,,1172,D,28.25,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
7791,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,5,,607,,1042,C,30.5,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
7792,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,6,,712,,982,B,32.5,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
7793,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,7,,914,,873,A,35.5,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
6,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,4444,full-circle ring,8,8,,1265,,776,G,40,1957,,John Taylor & Co,,,flat,unturned,,8,Y,09/12/2020 11:20
64396,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,1,,6.1875,,1585,G,5.75,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64397,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,2,,6.375,,1477,F♯,6,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64398,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,3,,6.6875,,1308,E,6,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64399,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,4,,6.5,,1181,D,6,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64400,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,5,,7.3125,,1043,C,6.5,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64401,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,6,,7.5,,986,B,6.5,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64402,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,7,,7.3125,,883,A,6.7,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
64403,Abbots Bromley,The Campanile,Staffordshire,25192,,,,17252,lightweight ring,8,8,,10.375,,775,G,7.5,-2004,,Bowditch & Higby,,,peg_argent,unturned,,9761,Y,30/12/2024 23:17
7795,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,3782,full-circle ring,6,1,,455,,,D♯,28,1734,,Richard Phelps,,,conventional,,welded,10,Y,24/01/2024 10:48
7796,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,3782,full-circle ring,6,2,,518,,,C♯,29.63,1891,,Mears & Stainbank,,,conventional,,,10,Y,09/12/2020 11:20
7797,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,3782,full-circle ring,6,3,,572,,,B,31,1734,,Richard Phelps,,,removed,,welded,10,Y,24/01/2024 10:48
7798,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,3782,full-circle ring,6,4,,636,,,A♯,32.5,1734,,Richard Phelps,,,conventional,,,10,Y,09/12/2020 11:20
7799,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,3782,full-circle ring,6,5,,791,,,G♯,36,1912,,Mears & Stainbank,,,conventional,,,10,Y,09/12/2020 11:20
7,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,3782,full-circle ring,6,6,,1089,,,F♯,40,1809,,John Briant,,,conventional,,,10,Y,09/12/2020 11:20
7800,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,3049,full-circle ring,6,1,,504,Y,1277.5,D♯,28.13,1781,,William Bilbie,,,,,,11,Y,09/12/2020 11:20
7801,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,3049,full-circle ring,6,2,,560,Y,1145,C♯,29.38,1714,,Abraham I Rudhall,,,,,,11,Y,09/12/2020 11:20
7802,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,3049,full-circle ring,6,3,,616,Y,1028,B,31.75,1714,,Abraham I Rudhall,,,,,,11,Y,09/12/2020 11:20
7803,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,3049,full-circle ring,6,4,,728,Y,974.5,A♯,32.75,1714,,Abraham I Rudhall,,,,,,11,Y,09/12/2020 11:20
7804,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,3049,full-circle ring,6,5,,896,Y,852,G♯,36,1895,,Llewellins & James,,,,,,11,Y,09/12/2020 11:20
8,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,3049,full-circle ring,6,6,,1288,Y,746,F♯,40.75,1781,,William Bilbie,,,,,,11,Y,09/12/2020 11:20
7805,Abbots Ripton,S Andrew,Cambridgeshire,14528,TL230780,52.38636,-0.19334,4529,full-circle ring,3,1,,,,1257.5,D♯,29.06,c1400,Y,William Dawe,,,,,,13,Y,09/12/2020 11:20
7806,Abbots Ripton,S Andrew,Cambridgeshire,14528,TL230780,52.38636,-0.19334,4529,full-circle ring,3,2,,,,1136,C♯,30,1671,,Tobias III Norris,,,,,,13,Y,09/12/2020 11:20
10,Abbots Ripton,S Andrew,Cambridgeshire,14528,TL230780,52.38636,-0.19334,4529,full-circle ring,3,3,,672,Y,1022,B,32,1875,,John Warner & Sons,,,,,,13,Y,09/12/2020 11:20
7807,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,6107,full-circle ring,6,1,,502,,1382,E♯,27.5,1773,,Thomas II Bilbie,,,removed,,,14,Y,09/12/2020 11:20
7808,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,6107,full-circle ring,6,2,,488,,1232,D♯,28.25,1773,,Thomas II Bilbie,,,removed,,,14,Y,09/12/2020 11:20
7809,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,6107,full-circle ring,6,3,,497,,1098,C♯,29.5,1773,,Thomas II Bilbie,,,removed,,,14,Y,09/12/2020 11:20
7810,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,6107,full-circle ring,6,4,,596,,1036,B♯,30.75,1724,,William Knight,,,removed,,,14,Y,09/12/2020 11:20
7811,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,6107,full-circle ring,6,5,,848,,924,A♯,34,1962,,John Taylor & Co,,,flat,,,14,Y,09/12/2020 11:20
11,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,6107,full-circle ring,6,6,,1093,,822,G♯,37.5,1962,,John Taylor & Co,,,flat,,,14,Y,09/12/2020 11:20
7812,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,3487,full-circle ring,6,1,,456,,1299,E,27.13,1886,,Llewellins & James,,,conventional,,,15,Y,09/12/2020 11:20
7813,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,3487,full-circle ring,6,2,,558,,1146,D,29.5,1886,,Llewellins & James,,,conventional,,,15,Y,09/12/2020 11:20
7814,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,3487,full-circle ring,6,3,,658,,1028,C,31.63,1886,,Llewellins & James,,,conventional,,,15,Y,09/12/2020 11:20
7815,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,3487,full-circle ring,6,4,,752,,974,B,33.5,1886,,Llewellins & James,,,conventional,,,15,Y,09/12/2020 11:20
7816,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,3487,full-circle ring,6,5,,892,,864,A,35.5,c1380,Y,William Dawe,,,conventional,quarter,,15,Y,09/12/2020 11:20
12,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,3487,full-circle ring,6,6,,1226,,772,G,40.13,c1550,Y,William Preston,,,conventional,quarter,,15,Y,09/12/2020 11:20
7817,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1766,full-circle ring,6,1,,477,,1360.5,E,27.5,1924,,Mears & Stainbank,,,flat,,,16,Y,14/06/2023 19:40
7818,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1766,full-circle ring,6,2,,534,,1198.5,D,28.88,1924,,Mears & Stainbank,,,flat,,,16,Y,09/12/2020 11:20
7819,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1766,full-circle ring,6,3,,594,,1076,C,31,1924,,Mears & Stainbank,,,flat,,,16,Y,14/06/2023 19:40
7820,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1766,full-circle ring,6,4,,710,,1003.5,B,32.75,1924,,Mears & Stainbank,,,flat,,,17,Y,14/06/2023 19:40
7821,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1766,full-circle ring,6,5,,,,897,A,35.88,1705,,Thomas III Pennington,,,removed,quarter,,17,Y,09/12/2020 11:20
13,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1766,full-circle ring,6,6,,1120,Y,803,G,38.25,1637,,Thomas II Pennington,,,removed,quarter,,17,Y,09/12/2020 11:20
7822,Abbotsley,S Margaret,Cambridgeshire,13660,TL227565,52.19345,-0.20544,3661,full-circle ring,5 U/R,1,,504,Y,,D♯,27.5,1748,,Joseph Eayre,,,,,,,,13/03/2022 21:45
7823,Abbotsley,S Margaret,Cambridgeshire,13660,TL227565,52.19345,-0.20544,3661,full-circle ring,5 U/R,2,,560,Y,,C♯,29.75,1575,Y,John Grene,,,,,,,,13/03/2022 21:45
7824,Abbotsley,S Margaret,Cambridgeshire,13660,TL227565,52.19345,-0.20544,3661,full-circle ring,5 U/R,3,,672,Y,,B,32,c1450,Y,John Sturdy,Y,,,,,,,13/03/2022 21:45
7825,Abbotsley,S Margaret,Cambridgeshire,13660,TL227565,52.19345,-0.20544,3661,full-circle ring,5 U/R,4,,896,Y,,A,34.5,1653,,Miles III Graye,,,,,,,,13/03/2022 21:52
14,Abbotsley,S Margaret,Cambridgeshire,13660,TL227565,52.19345,-0.20544,3661,full-circle ring,5 U/R,5,,1120,Y,,G♯,38.25,1748,,Joseph Eayre,,,,,,18,,28/09/2022 12:21
7826,Abbotts Ann,S Mary,Hampshire,15904,SU330435,51.19038,-1.52873,5905,full-circle ring,6,1,,504,,1272,D♯,27.25,1989,,John Taylor & Co (Bellfounders) Ltd,,,flat,,,,Y,09/12/2020 11:20
7827,Abbotts Ann,S Mary,Hampshire,15904,SU330435,51.19038,-1.52873,5905,full-circle ring,6,2,,537,,1123.5,C♯,28.88,1939,,Gillett & Johnston,,,flat,,,,Y,09/12/2020 11:20
7828,Abbotts Ann,S Mary,Hampshire,15904,SU330435,51.19038,-1.52873,5905,full-circle ring,6,3,,634,,992.5,B,31,1939,,Gillett & Johnston,,,flat,,,,Y,09/12/2020 11:20
7829,Abbotts Ann,S Mary,Hampshire,15904,SU330435,51.19038,-1.52873,5905,full-circle ring,6,4,,706,,931.5,A♯,32.5,1939,,Gillett & Johnston,,,flat,,,,Y,09/12/2020 11:20
7830,Abbotts Ann,S Mary,Hampshire,15904,SU330435,51.19038,-1.52873,5905,full-circle ring,6,5,,896,,835,G♯,35.5,1764,,Robert I Wells,,,removed,,,,Y,09/12/2020 11:20
15,Abbotts Ann,S Mary,Hampshire,15904,SU330435,51.19038,-1.52873,5905,full-circle ring,6,6,,1098,,745.5,F♯,39,1607,,John Wallis,,,removed,,,,Y,09/12/2020 11:20
7831,Abenhall,S Michael,Gloucestershire,13453,SO671174,51.85445,-2.47867,3454,full-circle ring,3 U/R,1,,560,Y,,C,30.25,c1399,Y,(unidentified),,,removed,quarter,cracked,19,Y,09/12/2020 11:20
7832,Abenhall,S Michael,Gloucestershire,13453,SO671174,51.85445,-2.47867,3454,full-circle ring,3 U/R,2,,672,Y,,B♭,31.75,1654,,John I Pennington ('IP'),,,removed,quarter,,19,Y,09/12/2020 11:20
16,Abenhall,S Michael,Gloucestershire,13453,SO671174,51.85445,-2.47867,3454,full-circle ring,3 U/R,3,,896,Y,,A♭,35.75,1682,Y,Roger II & Richard III Purdue,,,removed,quarter,cracked,19,Y,09/12/2020 11:20
