,Bell No,Actual Time,Confidence
0,1,36440.0,1.0
1,2,36640.0,1.0
2,3,37140.0,1.0
3,4,37440.0,1.0
4,5,37600.0,1.0
5,6,37880.0,1.0
6,7,38240.0,1.0
7,8,38560.0,1.0
8,1,38750.0,1.0
9,2,38800.0,1.0
10,3,39240.0,1.0
11,4,39510.0,1.0
12,5,39760.0,1.0
13,6,40070.0,1.0
14,7,40310.0,1.0
15,8,40790.0,1.0
16,1,41020.0,1.0
17,2,41250.0,1.0
18,3,41680.0,1.0
19,4,41830.0,1.0
20,5,42080.0,1.0
21,6,42390.0,1.0
22,7,42600.0,1.0
23,8,42910.0,1.0
24,1,43150.0,1.0
25,2,43350.0,1.0
26,3,43770.0,1.0
27,4,43970.0,1.0
28,5,44130.0,1.0
29,6,44460.0,1.0
30,7,44690.0,1.0
31,8,45100.0,1.0
32,1,45420.0,0.8826703649421391
33,2,45610.0,1.0
34,3,45980.0,1.0
35,4,46300.0,1.0
36,5,46530.0,1.0
37,6,46750.0,1.0
38,7,47010.0,1.0
39,8,47240.0,1.0
40,1,47560.0,1.0
41,2,47700.0,1.0
42,3,48050.0,1.0
43,4,48270.0,1.0
44,5,48490.0,0.974329271504828
45,6,48870.0,1.0
46,7,49090.0,1.0
47,8,49390.0,1.0
48,1,49780.0,1.0
49,2,50110.0,1.0
50,3,50420.0,0.9864081317373319
51,4,50690.0,1.0
52,5,50880.0,1.0
53,6,51220.0,0.9928217696899638
54,7,51380.0,1.0
55,8,51630.0,1.0
56,1,51890.0,0.983178903804548
57,2,52160.0,1.0
58,3,52470.0,0.793497539749883
59,4,52700.0,1.0
60,5,52880.0,0.9752698151042166
61,6,53210.0,1.0
62,7,53490.0,1.0
63,8,53840.0,1.0
64,1,54220.0,0.9031200751304362
65,3,54760.0,0.9383851915118507
66,2,55020.0,0.41210638233151364
67,4,55040.0,1.0
68,5,55220.0,0.7770959852954233
69,6,55470.0,0.8898597312131293
70,7,55760.0,0.9498803647326697
71,8,56010.0,1.0
72,1,56240.0,1.0
73,2,56430.0,1.0
74,3,56720.0,0.9879771770029144
75,4,57030.0,1.0
76,5,57280.0,1.0
77,6,57550.0,1.0
78,7,57810.0,1.0
79,8,58120.0,1.0
80,1,58510.0,0.9840878299714169
