,Bell No,Actual Time,Confidence
0,1,2520.0,1.0
1,2,2770.0,1.0
2,3,3040.0,1.0
3,4,3280.0,1.0
4,5,3510.0,1.0
5,6,3900.0,1.0
6,1,4240.0,1.0
7,2,4550.0,1.0
8,3,4860.0,1.0
9,4,5190.0,1.0
10,5,5470.0,1.0
11,6,5830.0,1.0
12,1,6390.0,1.0
13,2,6650.0,1.0
14,3,6940.0,1.0
15,4,7200.0,1.0
16,5,7400.0,1.0
17,6,7890.0,1.0
18,1,8160.0,1.0
19,2,8430.0,0.97507327665173
20,3,8850.0,1.0
21,4,9120.0,0.9560283940473491
22,5,9400.0,1.0
23,6,9740.0,1.0
24,1,10350.0,1.0
25,2,10580.0,0.9675825145492611
26,3,10810.0,1.0
27,4,11120.0,0.928172554462695
28,5,11370.0,0.6662294805983926
29,6,11870.0,1.0
30,1,12160.0,0.8663445685576207
31,2,12350.0,0.916667805308715
32,3,12770.0,1.0
33,4,13000.0,0.9643993932562241
34,5,13300.0,0.9877239737609947
35,6,13680.0,1.0
36,1,14270.0,0.9532763644337068
37,2,14530.0,0.9693617431758639
38,3,14700.0,1.0
39,4,15060.0,0.7734676647520189
40,5,15330.0,0.9036205098993437
41,6,15710.0,1.0
42,1,16060.0,1.0
43,2,16280.0,0.9899223355745216
44,3,16610.0,1.0
45,4,16930.0,0.9101752505316735
46,5,17280.0,0.9895093037364747
47,6,17590.0,1.0
48,1,18250.0,0.9933373681970887
49,2,18510.0,0.9834910882377423
50,3,18700.0,1.0
51,4,19010.0,0.9947701283722957
52,5,19330.0,1.0
53,6,19630.0,1.0
54,1,20070.0,0.9424736362007416
55,2,20250.0,0.9504882544883761
56,3,20620.0,1.0
57,4,20900.0,0.9595613968775836
58,5,21240.0,1.0
59,6,21520.0,0.8292935908381224
60,1,22120.0,0.8929677169038874
61,2,22470.0,0.6365250019406634
62,3,22670.0,0.9148825610936779
63,4,22970.0,1.0
64,5,23160.0,0.8939269106288811
65,6,23540.0,0.9915575021805139
66,1,23920.0,0.9572472398825974
67,2,24160.0,0.9617258973092994
68,3,24580.0,1.0
69,4,24870.0,1.0
70,5,25150.0,0.966962831986889
71,6,25480.0,0.9914313961390696
72,2,25950.0,0.9913975278667877
73,1,26310.0,0.8347950088509776
74,4,26680.0,0.8579270217719852
75,3,26970.0,1.0
76,6,27260.0,1.0
77,5,27430.0,0.9808219178543456
78,2,28160.0,1.0
79,1,28470.0,0.8627977265766662
80,4,28550.0,1.0
81,6,29000.0,1.0
82,3,29210.0,0.9865199703071171
83,5,29500.0,0.9451165179493112
84,2,29960.0,0.5616482480843539
85,1,30320.0,0.7689729278394672
86,6,30820.0,0.9274187666984137
87,4,30890.0,0.24450947869531703
88,5,31120.0,0.3995859183885895
89,3,31500.0,0.961201104423577
90,2,31740.0,0.9038586640579511
91,6,32320.0,1.0
92,1,32590.0,1.0
93,4,32760.0,0.9385358221954347
94,3,33210.0,0.9921515202950172
