,Bell No,Actual Time,Confidence
0,1,37100.0,1.0
1,2,37400.0,1.0
2,3,37700.0,1.0
3,4,37920.0,1.0
4,5,38260.0,1.0
5,6,38720.0,1.0
6,1,39110.0,1.0
7,2,39420.0,1.0
8,3,39830.0,1.0
9,4,40170.0,1.0
10,5,40340.0,1.0
11,6,40830.0,1.0
12,1,41270.0,1.0
13,2,41560.0,1.0
14,3,41890.0,1.0
15,4,42230.0,1.0
16,5,42580.0,1.0
17,6,42890.0,1.0
18,1,43370.0,1.0
19,2,43590.0,1.0
20,3,44030.0,1.0
21,4,44310.0,1.0
22,5,44600.0,1.0
23,6,44980.0,1.0
24,1,45530.0,0.9882915126330456
25,2,45810.0,0.9871138833477928
26,3,46190.0,1.0
27,4,46430.0,0.9581664974260763
28,5,46730.0,1.0
29,6,47100.0,1.0
30,1,47430.0,0.9514516528553607
31,2,47840.0,0.9881979267970303
32,3,48180.0,0.9445640185238652
33,4,48560.0,0.9744628048197435
34,5,48750.0,0.9781221913669308
35,6,49170.0,1.0
36,1,49630.0,0.964578015383839
37,2,49880.0,1.0
38,3,50300.0,1.0
39,4,50510.0,0.9349713781898984
40,5,50850.0,1.0
41,6,51210.0,1.0
42,1,51540.0,0.8609768231329152
43,2,51920.0,0.9883580182319643
44,3,52230.0,1.0
45,4,52530.0,0.9712310106265226
46,5,52790.0,1.0
47,6,53200.0,0.9514297776660189
48,1,53730.0,0.9066470299062129
49,2,54030.0,1.0
50,3,54350.0,0.983348488096769
51,4,54560.0,1.0
52,5,54890.0,0.991712304871149
53,6,55210.0,1.0
54,1,55580.0,0.8932894348660797
55,2,56030.0,0.9206733000405841
56,3,56260.0,1.0
57,4,56750.0,0.9497519354886793
58,5,56840.0,0.7723718462082471
59,6,57240.0,0.5738239802360297
60,1,57720.0,0.7612246385085785
61,2,58070.0,1.0
62,3,58440.0,0.9911301838497052
63,4,58750.0,0.9736256758030559
64,5,59010.0,1.0
65,6,59370.0,1.0
66,1,59610.0,0.9756031112722735
67,2,59950.0,0.9937801483451725
68,3,60400.0,1.0
69,4,60670.0,0.8846523510636027
70,5,60990.0,0.9848654874989512
71,6,61350.0,1.0
72,2,61870.0,0.9914223797768851
73,1,62180.0,0.9273130995194117
74,4,62480.0,0.7292404948755136
75,3,62850.0,1.0
76,6,63260.0,0.6296336238929332
77,5,63430.0,1.0
78,2,63870.0,1.0
79,4,64200.0,0.9417104686492123
80,1,64430.0,0.9806176310119101
81,6,64840.0,1.0
82,3,65110.0,1.0
83,5,65410.0,0.9858161830621808
84,4,66050.0,0.8477072272351484
85,2,66300.0,0.8548975769951822
86,6,66640.0,0.9518856454655505
87,1,66990.0,0.9205141860489371
88,5,67250.0,1.0
89,3,67560.0,1.0
90,2,67770.0,0.9860081283253895
91,4,68170.0,1.0
92,6,68630.0,0.9910125159429998
93,5,68940.0,1.0
94,1,69220.0,0.9569982301013499
95,3,69480.0,0.9619925672382819
96,4,69880.0,0.9672621075976897
97,2,70140.0,0.9699183943313209
98,5,70580.0,1.0
99,6,71000.0,1.0
100,3,71290.0,1.0
101,1,71610.0,0.8577991970576397
102,2,71720.0,1.0
103,4,71980.0,0.974704826530708
104,5,72360.0,1.0
105,3,72950.0,1.0
106,6,73330.0,0.9887290547405683
107,1,73560.0,1.0
108,4,73660.0,0.991638567237783
109,2,74130.0,0.9842195940204466
110,3,74640.0,0.7989037088092
111,5,74710.0,1.0
112,1,75410.0,0.9831334048950094
113,6,75660.0,0.9793247403353708
114,4,76080.0,0.9861003894554284
115,2,76440.0,0.9246290560880489
116,3,76560.0,0.9735486261437648
117,1,77050.0,0.7087125338094482
118,5,77310.0,0.9922226809903956
119,6,77750.0,0.9615817286055138
120,4,78000.0,1.0
121,2,78290.0,1.0
122,1,78870.0,0.40805410564412437
123,3,79200.0,1.0
124,6,79600.0,1.0
125,5,79830.0,0.9177394499855926
126,4,79960.0,1.0
127,1,80540.0,0.9774322500645144
128,2,80850.0,0.9299539844139536
129,6,81270.0,1.0
130,3,81520.0,1.0
131,5,81830.0,1.0
132,1,82400.0,0.9061285855500928
133,4,82560.0,0.9280759540135554
134,6,83040.0,0.9835310970156017
135,2,83340.0,1.0
136,5,83570.0,0.9583056000675247
137,3,83860.0,1.0
138,1,84340.0,0.9519910648732871
139,4,84630.0,1.0
140,2,84840.0,0.9812939877374025
141,6,85170.0,0.9688382151857556
142,3,85540.0,0.9864896381117115
143,5,85680.0,0.961956126073929
144,4,86450.0,1.0
145,1,86850.0,0.987230613673957
146,6,87110.0,0.9748212771395408
147,2,87450.0,0.9877171408223983
148,5,87740.0,1.0
149,3,87970.0,0.977343621395745
150,4,88420.0,1.0
151,6,88810.0,1.0
152,1,89060.0,0.9774407411427185
153,5,89480.0,0.9915498040460143
154,2,89750.0,0.8559296058159057
155,3,90000.0,0.9870099480208577
156,6,90580.0,1.0
157,4,90780.0,1.0
158,5,91200.0,1.0
159,1,91520.0,0.8127796070001182
160,3,91880.0,1.0
161,2,92150.0,0.9744677092032212
162,4,92550.0,1.0
163,6,92770.0,1.0
164,5,93090.0,0.9612108580964349
165,3,93580.0,1.0
166,1,93760.0,1.0
167,2,94100.0,0.9488210249289705
168,6,94700.0,0.9676324611458957
169,4,94810.0,0.6954701975752327
170,3,95330.0,0.9572984018985489
171,5,95700.0,1.0
172,2,95930.0,1.0
173,1,96240.0,0.4666248476460238
174,4,96700.0,1.0
175,6,96940.0,1.0
