,Bell No,Actual Time,Confidence
0,1,5410.0,1.0
1,2,5680.0,1.0
2,3,6120.0,1.0
3,4,6270.0,1.0
4,5,6550.0,1.0
5,7,6930.0,1.0
6,6,7010.0,1.0
7,8,7770.0,1.0
8,1,7710.0,1.0
9,2,7960.0,1.0
10,3,8430.0,1.0
11,4,8580.0,1.0
12,5,8820.0,1.0
13,7,9170.0,1.0
14,6,9220.0,1.0
15,8,9870.0,1.0
16,1,10120.0,1.0
17,2,10370.0,1.0
18,3,10690.0,1.0
19,4,10920.0,1.0
20,5,11210.0,1.0
21,6,11450.0,1.0
22,7,11500.0,1.0
23,8,11980.0,1.0
24,1,12260.0,1.0
25,2,12520.0,1.0
26,3,12970.0,1.0
27,4,13080.0,1.0
28,5,13340.0,1.0
29,6,13730.0,1.0
30,7,13860.0,1.0
31,8,14050.0,1.0
32,1,14490.0,0.9902352965327899
33,2,14760.0,0.9487990709370682
34,3,15190.0,0.9871145067871802
35,4,15410.0,0.8365408515653248
36,5,15620.0,1.0
37,6,15980.0,1.0
38,7,16150.0,1.0
39,8,16260.0,0.9793005848913485
40,1,16680.0,1.0
41,2,16940.0,1.0
42,3,17220.0,1.0
43,4,17480.0,0.9568851636158383
44,5,17760.0,1.0
45,6,18060.0,1.0
46,7,18200.0,1.0
47,8,18610.0,0.9681888132443792
48,1,18960.0,0.9795336130658169
49,2,19260.0,1.0
50,3,19520.0,1.0
51,4,19770.0,1.0
52,5,20040.0,1.0
53,6,20350.0,1.0
54,7,20570.0,0.9840655055124432
55,8,21070.0,1.0
56,1,21120.0,1.0
57,2,21360.0,0.9868188156760759
58,3,21640.0,0.9500447349717437
59,4,21890.0,1.0
60,5,22120.0,1.0
61,6,22470.0,1.0
62,7,22660.0,0.9941723148273557
63,8,23170.0,1.0
64,1,23500.0,1.0
65,2,23750.0,1.0
66,3,24080.0,0.9771574212781912
67,4,24290.0,0.9750233742250377
68,5,24450.0,1.0
69,6,24780.0,1.0
70,7,25060.0,1.0
71,8,25410.0,1.0
72,1,25620.0,1.0
73,2,25860.0,0.6906146493355658
74,3,26210.0,0.9826908753626177
75,4,26390.0,1.0
76,5,26700.0,1.0
77,6,26990.0,0.9792989717113888
78,7,27180.0,1.0
79,8,27530.0,1.0
80,1,27940.0,0.9238061894957289
81,2,28170.0,1.0
82,3,28530.0,0.9814898034359414
83,4,28680.0,0.979146443860058
84,5,29010.0,0.9733352338266007
85,6,29320.0,0.8752020397009174
86,7,29510.0,1.0
87,8,29880.0,0.9816904799213874
88,1,30000.0,0.9822230812867009
89,2,30280.0,1.0
90,3,30640.0,0.9498566284528235
91,4,30860.0,0.9653818370100403
92,5,31150.0,0.8653456483161219
93,6,31440.0,0.4116155817031856
94,7,31680.0,1.0
95,8,32000.0,1.0
96,2,32330.0,0.8587140617919361
97,1,32710.0,0.8519099256039305
98,4,33100.0,0.9606301335131558
99,3,33260.0,0.9257372403448118
100,6,33470.0,1.0
101,5,33740.0,0.9546131077837393
102,7,33960.0,1.0
103,8,34220.0,1.0
104,2,34540.0,1.0
105,4,34940.0,0.96617940127237
106,1,35120.0,0.9718447304508115
107,6,35490.0,1.0
108,3,35640.0,0.9665461559912643
109,7,35890.0,1.0
110,5,36170.0,0.9879855315092981
111,8,36290.0,1.0
112,4,36940.0,1.0
113,2,37130.0,0.9635211337545445
114,6,37520.0,1.0
115,1,37640.0,0.7659530205528758
116,7,37920.0,1.0
117,3,38170.0,0.9697807354654419
118,8,38290.0,0.9804396200324557
119,5,38390.0,1.0
120,4,38940.0,1.0
121,6,39360.0,1.0
122,2,39470.0,0.956560809241002
123,7,39830.0,0.9892337172104037
124,1,39960.0,1.0
125,5,40210.0,1.0
126,8,40320.0,0.6869330060584304
127,3,40570.0,0.9942436906656194
128,6,41250.0,1.0
129,4,41550.0,1.0
130,7,41660.0,1.0
131,2,41870.0,0.5864258477638433
132,5,42150.0,1.0
133,8,42350.0,0.9805621508905027
134,1,42550.0,1.0
