,Bell No,Actual Time,Confidence
0,1,17240.0,1.0
1,2,17610.0,1.0
2,3,17990.0,1.0
3,4,18240.0,1.0
4,5,18580.0,1.0
5,6,18950.0,1.0
6,7,19180.0,1.0
7,8,19590.0,1.0
8,1,19230.0,1.0
9,2,19760.0,1.0
10,3,20010.0,1.0
11,4,20260.0,1.0
12,5,20610.0,1.0
13,6,20990.0,1.0
14,7,21330.0,1.0
15,8,21750.0,1.0
16,1,21950.0,1.0
17,2,22220.0,1.0
18,3,22540.0,1.0
19,4,22800.0,1.0
20,5,23000.0,1.0
21,6,23300.0,1.0
22,7,23590.0,1.0
23,8,23950.0,1.0
24,1,24140.0,1.0
25,2,24450.0,1.0
26,3,24780.0,1.0
27,4,24880.0,1.0
28,5,25090.0,1.0
29,6,25450.0,1.0
30,7,25710.0,1.0
31,8,26060.0,1.0
32,1,26550.0,0.9226092196745287
33,2,26870.0,1.0
34,3,27160.0,0.9639654834150522
35,4,27330.0,1.0
36,5,27560.0,1.0
37,6,27780.0,1.0
38,7,28030.0,1.0
39,8,28320.0,0.9936444469475068
40,1,28520.0,1.0
41,2,28870.0,0.9582009007661907
42,3,29230.0,0.9670293475928191
43,4,29420.0,1.0
44,5,29690.0,1.0
45,6,29930.0,1.0
46,7,30230.0,1.0
47,8,30530.0,1.0
48,1,30960.0,0.9178476488789395
49,2,31230.0,0.8289368019387889
50,3,31470.0,1.0
51,4,31890.0,0.7820687971832729
52,5,32030.0,1.0
53,6,32330.0,1.0
54,7,32560.0,1.0
55,8,32850.0,1.0
56,1,32990.0,1.0
57,2,33280.0,0.983030780339721
58,3,33600.0,0.9927901294672531
59,4,33790.0,1.0
60,5,34070.0,1.0
61,6,34380.0,1.0
62,7,34740.0,1.0
63,8,35030.0,0.7840201050482061
64,1,35580.0,0.9309242648561671
65,2,35770.0,1.0
66,3,36070.0,0.963239101144111
67,4,36260.0,0.9872988464737608
68,5,36460.0,1.0
69,6,36720.0,1.0
70,7,37030.0,0.9904348868436601
71,8,37390.0,0.9894083831202544
72,1,37510.0,1.0
73,2,37820.0,0.7784391591825748
74,3,38160.0,0.985445524330027
75,4,38380.0,1.0
76,5,38620.0,0.9378815446927955
77,6,38900.0,1.0
78,7,39170.0,1.0
79,8,39510.0,0.9775637492301495
80,1,40010.0,0.9930444574865107
81,2,40280.0,1.0
82,3,40530.0,1.0
83,4,40790.0,0.9774572935076083
84,5,41010.0,1.0
85,6,41310.0,1.0
86,7,41520.0,1.0
87,8,41800.0,0.9849054260481407
88,1,42110.0,0.9812413786799336
89,2,42470.0,0.9816287897170641
90,3,42660.0,0.991432585667464
91,4,42820.0,0.9925945692395024
92,5,43130.0,0.9385991196464242
93,6,43400.0,1.0
94,7,43700.0,0.9853307558691682
95,8,44050.0,1.0
96,1,44600.0,0.986140094041099
97,2,44780.0,1.0
98,3,45040.0,1.0
99,4,45260.0,1.0
100,5,45530.0,1.0
101,6,45840.0,1.0
102,7,46000.0,0.9450883123786489
103,8,46340.0,1.0
104,1,46590.0,1.0
105,2,46870.0,0.9811564752771786
106,3,47150.0,0.9804360644012261
107,4,47330.0,1.0
108,5,47650.0,0.9579826164496666
109,6,47900.0,1.0
110,7,48190.0,1.0
111,8,48490.0,0.7019680757373972
112,1,49090.0,0.9765261583607604
113,2,49300.0,0.9775908022790166
114,3,49510.0,1.0
115,4,49750.0,0.9889992810148169
116,5,50060.0,1.0
117,6,50350.0,1.0
118,7,50480.0,1.0
119,8,50850.0,0.9913393042290515
120,1,51080.0,1.0
121,2,51370.0,0.9528326326414708
122,3,51640.0,1.0
123,4,51880.0,1.0
124,5,52160.0,1.0
125,6,52390.0,1.0
126,7,52630.0,0.9905734720062384
127,8,53000.0,0.9437581998724521
128,1,53470.0,1.0
129,2,53730.0,0.7076654616754126
130,3,53960.0,1.0
131,4,54210.0,0.8932789093083984
132,5,54490.0,1.0
133,6,54810.0,0.9844941421902765
134,7,54870.0,0.9593808967511794
135,8,55290.0,0.9914834658222026
136,1,55600.0,1.0
137,2,55860.0,1.0
138,3,56070.0,0.9925628740155648
139,4,56300.0,0.9811146313011172
140,5,56560.0,0.9617705981367586
141,6,56800.0,1.0
142,7,57090.0,1.0
143,8,57390.0,0.9176039590216509
144,1,57960.0,0.9910888988635482
145,2,58210.0,1.0
146,3,58400.0,0.9933066294226176
147,4,58640.0,0.9801855227041605
148,5,58930.0,1.0
149,6,59220.0,1.0
150,7,59360.0,0.8512689757338141
151,8,59680.0,1.0
152,1,59930.0,0.9768104781082745
153,2,60250.0,1.0
154,3,60540.0,1.0
155,4,60740.0,0.989891286109995
156,5,61040.0,1.0
157,6,61280.0,1.0
158,7,61530.0,1.0
159,8,61820.0,0.9232598745783159
160,1,62310.0,0.9632862528953562
161,2,62580.0,0.9936946468076119
162,3,62850.0,0.9670173164050482
163,4,63070.0,0.8706822268581826
164,5,63310.0,1.0
165,6,63670.0,1.0
166,7,63850.0,0.9925013390381531
167,8,64150.0,1.0
168,1,64370.0,1.0
169,2,64580.0,0.9587112949830665
170,3,64930.0,0.9900732900684887
171,4,65210.0,1.0
172,5,65360.0,1.0
173,6,65690.0,1.0
174,7,65930.0,0.9672940446524233
175,8,66270.0,1.0
176,1,66800.0,1.0
177,2,67040.0,0.9905122225806502
178,3,67310.0,1.0
179,4,67500.0,1.0
180,5,67770.0,1.0
181,6,67940.0,1.0
182,7,68240.0,0.991633088163551
183,8,68550.0,0.985953379184261
184,1,68820.0,1.0
185,2,69080.0,1.0
186,3,69380.0,1.0
187,4,69590.0,1.0
188,5,69830.0,1.0
189,6,70190.0,1.0
190,7,70360.0,1.0
191,8,70670.0,1.0
192,1,71160.0,0.9765162576204167
193,2,71370.0,0.9797079072443667
194,3,71680.0,1.0
195,4,71940.0,0.9902239658735587
196,5,72160.0,1.0
197,6,72540.0,1.0
198,7,72720.0,0.9357656198957912
199,8,72960.0,1.0
200,1,73180.0,0.9649201956709407
201,2,73520.0,0.9823026802717937
202,3,73750.0,0.9613377108822038
203,4,74000.0,1.0
204,5,74220.0,1.0
205,6,74570.0,1.0
206,7,74810.0,0.9609323012664245
207,8,75080.0,0.989281363016202
208,1,75590.0,1.0
209,2,75790.0,0.9614575269401847
210,3,76070.0,0.9850355798588717
211,4,76440.0,1.0
212,5,76620.0,1.0
213,6,76950.0,1.0
214,7,77030.0,1.0
215,8,77400.0,0.9881753287886696
216,1,77710.0,0.9662556350780235
217,2,77970.0,1.0
218,3,78240.0,0.9845234832339006
219,4,78380.0,0.9901856645159656
220,5,78680.0,0.968000891919794
221,6,78960.0,1.0
222,7,79240.0,0.9765581914480294
223,8,79550.0,0.9444335706642438
224,2,79880.0,0.9591462420118287
225,1,80230.0,1.0
226,4,80450.0,0.991047519873462
227,3,80750.0,1.0
228,6,81070.0,0.9902843481482712
229,5,81280.0,1.0
230,7,81520.0,0.7901561730745725
231,8,81850.0,1.0
232,2,82020.0,1.0
233,4,82320.0,1.0
234,1,82560.0,1.0
235,6,82820.0,1.0
236,3,83100.0,0.9875961180123701
237,7,83410.0,0.9875430585694085
238,5,83770.0,1.0
239,8,84010.0,0.8757236453070693
240,4,84490.0,0.978070040422653
241,1,84920.0,1.0
242,6,84980.0,1.0
243,2,85100.0,0.9730595820290572
244,3,85450.0,0.9779408079183429
245,5,85750.0,0.9884399255685856
246,7,86050.0,1.0
247,8,86290.0,1.0
248,4,86600.0,0.9610914098477698
249,1,86810.0,0.9898534735046297
250,6,86910.0,1.0
251,2,87270.0,0.991718609935386
252,3,87600.0,0.9793912333036594
253,7,87830.0,0.9904167605865405
254,5,88150.0,0.9729987816191361
255,8,88460.0,0.9680757761093048
256,1,88840.0,0.6829226147298911
257,4,89110.0,1.0
258,6,89320.0,0.99372306456236
259,2,89650.0,1.0
260,3,89990.0,0.9932175569988521
261,5,90280.0,1.0
262,7,90500.0,0.9887604035652141
263,8,90720.0,0.979146559032756
264,1,90910.0,1.0
265,2,91440.0,1.0
266,4,91540.0,1.0
267,6,91850.0,1.0
268,3,92250.0,0.9914002146909329
269,7,92320.0,0.987525792928934
270,5,92620.0,1.0
271,8,92890.0,0.9802134938923691
272,1,93440.0,0.910443368787098
273,2,93745.82725994117,0.028499497433136532
274,4,94090.0,0.8472815422365624
275,6,94210.0,1.0
276,7,94460.0,1.0
277,3,94780.0,1.0
278,5,95080.0,1.0
279,8,95220.0,0.8196776977097505
280,1,95860.0,1.0
281,6,95940.0,1.0
282,2,95980.0,0.1711106444958809
283,7,96300.0,0.9642258923010122
284,4,96480.0,1.0
285,5,96840.0,0.9715686625912929
286,3,97280.0,1.0
287,8,97440.0,0.9683327946243179
288,1,97810.0,1.0
289,6,97970.0,0.9833533048887788
