,Bell No,Actual Time,Confidence
0,1,31730.0,1.0
1,2,31980.0,1.0
2,3,32360.0,1.0
3,4,32600.0,1.0
4,5,32950.0,1.0
5,6,33220.0,1.0
6,7,33480.0,1.0
7,8,33850.0,1.0
8,1,34190.0,1.0
9,2,34410.0,1.0
10,3,34630.0,1.0
11,4,34820.0,1.0
12,5,35200.0,1.0
13,6,35510.0,1.0
14,7,35670.0,1.0
15,8,36070.0,1.0
16,1,36520.0,1.0
17,2,36720.0,1.0
18,3,36990.0,1.0
19,4,37130.0,1.0
20,5,37430.0,1.0
21,6,37750.0,1.0
22,7,38000.0,1.0
23,8,38270.0,1.0
24,1,38700.0,1.0
25,2,38950.0,1.0
26,3,39150.0,1.0
27,4,39380.0,1.0
28,5,39630.0,1.0
29,6,39790.0,1.0
30,7,40090.0,1.0
31,8,40390.0,1.0
32,1,40840.0,0.8074047149692376
33,2,41110.0,0.8989885983969537
34,3,41370.0,1.0
35,4,41600.0,0.7423048095059025
36,5,41950.0,1.0
37,6,42190.0,0.9441045800122629
38,7,42450.0,0.9923020626652085
39,8,42730.0,0.9855521695106482
40,1,43080.0,1.0
41,2,43260.0,0.965705112812265
42,3,43490.0,1.0
43,4,43800.0,1.0
44,5,44040.0,1.0
45,6,44310.0,1.0
46,7,44560.0,1.0
47,8,44850.0,1.0
48,1,45250.0,0.9395392844095082
49,2,45600.0,0.9278864560610764
50,3,45810.0,1.0
51,4,46030.0,1.0
52,5,46370.0,0.974959694718729
53,6,46640.0,1.0
54,7,46870.0,1.0
55,8,47140.0,1.0
56,1,47380.0,1.0
57,2,47630.0,0.8476448712440664
58,3,47900.0,1.0
59,4,48160.0,1.0
60,5,48480.0,0.9852851132585676
61,6,48650.0,1.0
62,7,48900.0,0.9506069878413977
63,8,49310.0,0.9855358900644828
64,1,49730.0,0.9794018546951602
65,2,50000.0,1.0
66,3,50230.0,0.9599281703789203
67,4,50420.0,0.9830473264554137
68,5,50730.0,0.9942881621014538
69,6,50980.0,1.0
70,7,51230.0,1.0
71,8,51560.0,1.0
72,1,51830.0,0.9682909907717192
73,2,52060.0,1.0
74,3,52290.0,0.9725158539783484
75,4,52540.0,1.0
76,5,52770.0,0.9363212455945269
77,6,53020.0,1.0
78,7,53370.0,0.9943924982931633
79,8,53650.0,1.0
80,1,53980.0,0.9526431129182509
81,2,54320.0,1.0
82,3,54590.0,0.9734334815973104
83,4,54810.0,0.9770747538448518
84,5,55060.0,0.9897798090268147
85,6,55350.0,1.0
86,7,55630.0,1.0
87,8,55850.0,1.0
88,1,56190.0,1.0
89,2,56400.0,1.0
90,3,56620.0,0.89635090640187
91,4,56950.0,1.0
92,5,57120.0,0.879962536256553
93,6,57460.0,1.0
94,7,57700.0,0.9841804638122859
95,8,58060.0,1.0
96,1,58390.0,1.0
97,2,58610.0,0.8912974845933179
98,3,58900.0,0.9758325098685473
99,4,59170.0,0.7061206437366624
100,5,59460.0,1.0
101,6,59750.0,0.9922536981255603
102,7,59990.0,1.0
103,8,60230.0,0.9302651011969536
104,1,60540.0,1.0
105,2,60790.0,1.0
106,3,61060.0,0.9838961206394455
107,4,61290.0,1.0
108,5,61540.0,1.0
109,6,61760.0,1.0
110,7,62010.0,0.8930400676566941
111,8,62380.0,0.7706872865449097
112,1,62750.0,0.9366455530049393
113,2,63020.0,0.9765151670680382
114,3,63300.0,0.975669588807181
115,4,63500.0,0.8921782972615991
116,5,63800.0,0.8776884303488242
117,6,64090.0,0.967934453744616
118,7,64300.0,1.0
119,8,64650.0,0.9600620383337785
120,1,64940.0,1.0
121,2,65100.0,1.0
122,3,65340.0,0.7797563776271526
123,4,65630.0,1.0
124,5,65910.0,0.7355405745303708
125,6,66150.0,1.0
126,7,66360.0,1.0
127,8,66750.0,0.9236260574633878
128,2,67100.0,0.9741407319230174
129,1,67540.0,1.0
130,4,67720.0,1.0
131,3,68000.0,0.9925023983342259
132,6,68280.0,0.9624995678799251
133,5,68560.0,1.0
134,7,68650.0,1.0
135,8,68930.0,0.9781743273348875
136,2,69170.0,1.0
137,4,69400.0,1.0
138,1,69780.0,1.0
139,6,70130.0,1.0
140,3,70300.0,1.0
141,7,70530.0,1.0
142,5,70800.0,1.0
143,8,71100.0,1.0
144,4,71380.0,1.0
145,2,71630.0,0.9708730549800829
146,6,72020.0,1.0
147,1,72250.0,0.9580320233980699
148,7,72530.0,1.0
149,3,72830.0,1.0
150,5,73070.0,1.0
151,8,73330.0,0.9421737497864062
152,4,73610.0,1.0
153,6,73930.0,0.9915259369804666
154,2,74020.0,0.9804771118756838
155,7,74360.0,0.9787361075553019
156,1,74510.0,0.9875070973465147
157,5,74860.0,1.0
158,3,75130.0,1.0
159,8,75430.0,0.8821344507521104
160,6,75960.0,0.9656014553048692
161,4,76210.0,0.9576260025975015
162,7,76530.0,0.8082340464336334
163,2,76640.0,0.7944745158131623
164,5,76950.0,0.9865855567480804
165,1,77060.0,1.0
166,3,77310.0,0.9910038628711731
167,8,77630.0,0.9791158487370362
168,6,78060.0,1.0
169,7,78300.0,1.0
170,4,78550.0,1.0
171,5,78890.0,1.0
172,2,79080.0,0.9547065227456607
173,3,79390.0,0.9471614011160775
174,1,79540.0,0.9903295208876199
175,8,79710.0,0.9742180870284368
176,7,80280.0,1.0
177,6,80510.0,1.0
178,5,80820.0,1.0
179,4,81180.0,0.9528421184447984
180,3,81390.0,0.9945958979829262
181,2,81540.0,0.8423000863304217
182,1,81610.0,1.0
183,8,82070.0,0.9516770954929358
184,7,82310.0,1.0
185,5,82640.0,0.764295649703364
186,6,83010.0,1.0
187,3,83190.0,0.9491685755067465
188,4,83430.0,1.0
189,1,83570.0,0.9241860546219045
190,2,83920.0,0.8495234898511593
191,8,84170.0,0.928913407893183
192,5,84710.0,0.9442579773042928
193,7,84870.0,1.0
194,3,85180.0,0.9225086799030309
195,6,85430.0,0.9939221408505934
196,1,85610.0,0.7709687768064434
197,4,85910.0,0.8594753087824171
198,2,86100.0,0.5086648573305977
199,8,86450.0,0.7030889781247331
200,5,86700.0,1.0
201,3,87050.0,1.0
202,7,87270.0,1.0
203,1,87380.0,0.9002006053848911
204,4,87610.0,0.9343438980413517
205,6,87820.0,1.0
206,2,87930.0,0.9556440661552242
207,8,88540.0,1.0
208,3,89010.0,0.9735346550365503
209,5,89290.0,0.9958817698025041
210,1,89440.0,0.9484688736334987
211,7,89690.0,1.0
212,2,89870.0,0.7180805139991945
213,4,90120.0,0.9657766863188841
214,6,90200.0,1.0
215,8,90710.0,0.9804830319027208
216,3,91090.0,0.934630664051089
217,1,91370.0,1.0
