,Bell No,Actual Time,Confidence
0,1,33990.0,1.0
1,2,34310.0,1.0
2,3,34620.0,1.0
3,4,34890.0,1.0
4,5,35130.0,1.0
5,6,35340.0,1.0
6,7,35580.0,1.0
7,8,36230.0,1.0
8,1,36140.0,1.0
9,2,36420.0,1.0
10,3,36850.0,1.0
11,4,37050.0,1.0
12,5,37250.0,1.0
13,6,37540.0,1.0
14,7,37920.0,1.0
15,8,38300.0,1.0
16,1,38550.0,1.0
17,2,38810.0,1.0
18,3,39210.0,1.0
19,4,39430.0,1.0
20,5,39640.0,1.0
21,6,39840.0,1.0
22,7,40150.0,1.0
23,8,40500.0,1.0
24,1,40780.0,1.0
25,2,41010.0,1.0
26,3,41350.0,1.0
27,4,41520.0,1.0
28,5,41770.0,1.0
29,6,42000.0,1.0
30,7,42320.0,1.0
31,8,42650.0,1.0
32,1,43080.0,1.0
33,2,43320.0,0.9780636587875361
34,3,43690.0,1.0
35,4,43900.0,1.0
36,5,44170.0,1.0
37,6,44370.0,1.0
38,7,44640.0,1.0
39,8,44970.0,0.13249787240925384
40,1,45250.0,1.0
41,2,45450.0,0.9927688348565987
42,3,45790.0,1.0
43,4,45980.0,1.0
44,5,46260.0,1.0
45,6,46450.0,0.9419828055906604
46,7,46850.0,1.0
47,8,47090.0,0.9868503899207112
48,1,47430.0,0.9660841071011459
49,2,47730.0,0.5226512961056597
50,3,48030.0,1.0
51,4,48290.0,1.0
52,5,48600.0,1.0
53,6,48830.0,1.0
54,7,49030.0,0.5189468701830581
55,8,49330.0,0.9766431222053303
56,1,49640.0,1.0
57,2,49830.0,1.0
58,3,50180.0,0.8913063379174543
59,4,50390.0,1.0
60,5,50660.0,1.0
61,6,50820.0,1.0
62,7,51240.0,0.9930904391424827
63,8,51530.0,0.9068488229830528
64,1,51930.0,1.0
65,2,52150.0,0.5994036360648742
66,3,52410.0,0.9641222636431547
67,4,52720.0,0.9786324481796421
68,5,52950.0,1.0
69,6,53130.0,1.0
70,7,53490.0,1.0
71,8,53730.0,0.9907745322971546
72,1,54080.0,0.9654931478113421
73,2,54260.0,0.9794138526325903
74,3,54570.0,0.9779411954809439
75,4,54760.0,1.0
76,5,55080.0,1.0
77,6,55260.0,1.0
78,7,55610.0,1.0
79,8,55960.0,1.0
80,1,56270.0,1.0
81,2,56570.0,1.0
82,3,56800.0,1.0
83,4,57080.0,1.0
84,5,57390.0,1.0
85,6,57580.0,1.0
86,7,57830.0,0.9549826913905554
87,8,58170.0,1.0
88,1,58430.0,1.0
89,2,58650.0,0.9940625558165419
90,3,59000.0,1.0
91,4,59180.0,1.0
92,5,59410.0,1.0
93,6,59660.0,0.9783912288387322
94,7,59960.0,1.0
95,8,60270.0,1.0
96,1,60520.0,0.9694332963595145
97,3,61200.0,1.0
98,4,61400.0,1.0
