,Bell No,Actual Time,Confidence
0,1,38780.0,1.0
1,2,39160.0,1.0
2,3,39450.0,1.0
3,4,39630.0,1.0
4,5,39950.0,1.0
5,6,40130.0,1.0
6,7,40360.0,1.0
7,8,40840.0,1.0
8,2,41150.0,1.0
9,1,41240.0,1.0
10,3,41570.0,1.0
11,4,41720.0,1.0
12,5,42000.0,1.0
13,6,42340.0,1.0
14,7,42650.0,1.0
15,8,42970.0,1.0
16,1,43670.0,1.0
17,2,43790.0,1.0
18,3,44080.0,1.0
19,4,44220.0,1.0
20,5,44460.0,1.0
21,6,44670.0,1.0
22,7,44920.0,1.0
23,8,45290.0,1.0
24,1,45560.0,1.0
25,2,45820.0,1.0
26,3,46130.0,1.0
27,4,46290.0,1.0
28,5,46520.0,1.0
29,6,46880.0,1.0
30,7,47180.0,1.0
31,8,47460.0,1.0
32,1,47740.0,0.9769511390653073
33,2,47980.0,0.9626775161534524
34,3,48360.0,0.8734455132833229
35,4,48480.0,1.0
36,5,48790.0,1.0
37,6,49110.0,1.0
38,7,49390.0,0.9911797701194415
39,8,49840.0,1.0
40,1,49970.0,1.0
41,2,50070.0,0.9648035982399112
42,3,50430.0,0.939583629067619
43,4,50520.0,0.9853422311464644
44,5,50830.0,1.0
45,6,51150.0,1.0
46,7,51440.0,0.9311468972901743
47,8,51810.0,0.9672908078673795
48,1,52320.0,1.0
49,2,52550.0,1.0
50,3,52810.0,0.974284344775121
51,4,52990.0,0.9868552240524662
52,5,53200.0,0.9821660235898011
53,6,53400.0,1.0
54,7,53660.0,1.0
55,8,54040.0,1.0
56,1,54340.0,1.0
57,2,54520.0,0.946845435472214
58,3,54790.0,0.9654932374986893
59,4,55070.0,0.9927808125282871
60,5,55280.0,1.0
61,6,55580.0,1.0
62,7,55890.0,0.9585951175531107
63,8,56070.0,0.990559030826847
64,1,56510.0,0.9844671945010964
65,2,56770.0,0.8035174931581831
66,3,57070.0,1.0
67,4,57270.0,0.9816800497811795
68,5,57570.0,0.9304732897768531
69,6,57790.0,1.0
70,7,58070.0,1.0
71,8,58390.0,1.0
72,1,58630.0,0.963811676533809
73,2,58800.0,1.0
74,3,59040.0,1.0
75,4,59360.0,0.9805829038623032
76,5,59520.0,0.9125628279657602
77,6,59860.0,1.0
78,7,60120.0,0.9570143707540915
79,8,60450.0,0.6700486845322016
80,1,60840.0,0.8927866974767895
81,2,61240.0,1.0
82,3,61310.0,1.0
83,4,61470.0,0.9835991195038459
84,5,61740.0,0.9925432148851052
85,6,62020.0,1.0
86,7,62340.0,1.0
87,8,62730.0,0.7690476009707621
88,1,62860.0,1.0
89,2,63120.0,1.0
90,3,63470.0,1.0
91,4,63620.0,1.0
92,5,63780.0,1.0
93,6,64100.0,1.0
94,7,64410.0,0.9424483768306747
95,8,64670.0,0.9347981325093898
96,1,65040.0,0.9648477895514499
97,2,65440.0,1.0
98,3,65670.0,0.9455026976614708
99,4,65850.0,0.9311987950716775
100,5,66110.0,0.9923584264944673
101,6,66340.0,1.0
102,7,66650.0,1.0
103,8,66960.0,0.8990543999788594
104,1,67200.0,1.0
105,2,67380.0,0.9641411940997628
106,3,67690.0,0.9191239319635525
107,4,67980.0,1.0
108,5,68140.0,1.0
109,6,68440.0,1.0
110,7,68690.0,1.0
111,8,68960.0,0.9705071741643737
112,1,69390.0,1.0
113,2,69670.0,0.8263664030035638
114,3,69990.0,0.9868522130397376
115,4,70120.0,0.9148254851778245
116,5,70410.0,0.990089886111221
117,6,70630.0,1.0
118,7,70960.0,1.0
119,8,71280.0,1.0
120,1,71430.0,0.9872742240062633
121,2,71650.0,0.990527894410506
122,3,71960.0,1.0
123,4,72200.0,1.0
124,5,72430.0,1.0
125,6,72700.0,1.0
126,7,72960.0,0.9843326213281564
127,8,73290.0,0.9635788861483213
128,1,73610.0,1.0
129,2,74060.0,0.6700644613324604
130,3,74240.0,0.9449908063216627
131,4,74440.0,0.9462526881891627
132,5,74690.0,1.0
133,6,74870.0,1.0
134,7,75140.0,1.0
135,8,75530.0,1.0
136,1,75730.0,0.9895113356204681
137,2,75940.0,0.2027629696603637
138,3,76210.0,1.0
139,4,76550.0,1.0
140,5,76750.0,1.0
141,6,77080.0,1.0
142,7,77240.0,0.882568533491627
143,8,77470.0,0.8887279305706868
144,1,77890.0,1.0
145,2,78310.0,0.762448168339876
146,3,78470.0,1.0
147,4,78630.0,1.0
148,5,78920.0,1.0
149,6,79200.0,1.0
150,7,79470.0,1.0
151,8,79850.0,1.0
152,1,80060.0,1.0
153,2,80210.0,1.0
154,3,80620.0,0.5971722967763651
155,4,80730.0,1.0
156,5,80940.0,0.9894217410209711
157,6,81260.0,1.0
158,7,81500.0,0.6433972531362218
159,8,81810.0,0.9583360875519598
160,1,82300.0,0.9815122874797735
161,2,82660.0,0.4610018140641528
162,3,82790.0,1.0
163,4,83060.0,0.9665115409349132
164,5,83230.0,1.0
165,6,83420.0,1.0
166,7,83740.0,1.0
167,8,84020.0,1.0
168,1,84340.0,1.0
169,2,84590.0,1.0
170,3,84830.0,1.0
171,4,85090.0,0.9828489260950932
172,5,85300.0,0.9697596752852842
173,6,85590.0,0.8430460735555829
174,7,85870.0,1.0
175,8,86120.0,0.8915853198315874
176,1,86500.0,1.0
177,2,86890.0,0.8476040334173212
178,3,87040.0,0.9841915148858148
179,4,87270.0,1.0
180,5,87490.0,1.0
