,Bell No,Actual Time,Confidence
0,1,50030.0,1.0
1,2,50360.0,1.0
2,3,50740.0,1.0
3,4,50990.0,1.0
4,5,51270.0,1.0
5,6,51520.0,1.0
6,7,51770.0,1.0
7,8,52130.0,1.0
8,1,52320.0,1.0
9,2,52530.0,1.0
10,3,52890.0,1.0
11,4,53210.0,1.0
12,5,53540.0,1.0
13,6,53850.0,1.0
14,7,54030.0,1.0
15,8,54420.0,1.0
16,2,54660.0,1.0
17,1,54900.0,1.0
18,3,54960.0,1.0
19,4,55400.0,1.0
20,5,55740.0,1.0
21,6,56080.0,1.0
22,7,56330.0,1.0
23,8,56810.0,1.0
24,1,56900.0,1.0
25,2,57010.0,1.0
26,3,57340.0,1.0
27,4,57680.0,1.0
28,5,57810.0,1.0
29,6,58080.0,1.0
30,7,58400.0,1.0
31,8,58840.0,1.0
32,2,59160.0,0.8441969514779147
33,1,59280.0,0.9189585863371924
34,3,59600.0,0.9926794942188853
35,4,59970.0,0.7592275179233572
36,5,60150.0,0.9462651534102217
37,6,60480.0,0.9933838668545304
38,7,60720.0,1.0
39,8,61060.0,0.9828068527547318
40,1,61290.0,0.9760415451292183
41,2,61430.0,1.0
42,3,61820.0,1.0
43,4,62050.0,1.0
44,5,62210.0,1.0
45,6,62590.0,1.0
46,7,62800.0,0.9883050872975082
47,8,63170.0,0.9798923632041583
48,1,63620.0,0.9629029695895523
49,2,63720.0,0.9744159109800175
50,3,64100.0,0.9281835431074812
51,4,64400.0,1.0
52,5,64470.0,1.0
53,6,64870.0,0.964955411700219
54,7,65170.0,0.956935733572136
55,8,65490.0,1.0
56,1,65690.0,1.0
57,2,65860.0,1.0
58,3,66160.0,0.8083430831894145
59,4,66480.0,0.9875373437484862
60,5,66730.0,1.0
61,6,67020.0,0.9812445514065941
62,7,67160.0,1.0
63,8,67620.0,0.932286584461762
64,1,68000.0,0.7197261141522024
65,2,68170.0,0.8787374912045155
66,3,68420.0,0.9405907812140218
67,4,68780.0,0.9176651117441986
68,5,68980.0,0.9905002240807986
69,6,69300.0,1.0
70,7,69520.0,0.9747006223029276
71,8,69910.0,1.0
72,1,70130.0,1.0
73,2,70290.0,0.9880652611865045
74,3,70590.0,1.0
75,4,70840.0,0.983569987546094
76,5,71140.0,0.9118397002078139
77,6,71470.0,1.0
78,7,71650.0,1.0
79,8,71970.0,0.9626467596966437
80,1,72450.0,1.0
81,2,72580.0,0.7409279477739552
82,3,72830.0,0.9893920300418791
83,4,73140.0,1.0
84,5,73420.0,1.0
85,6,73770.0,0.9801298319133441
86,7,73990.0,0.985255804690688
87,8,74290.0,1.0
88,1,74490.0,1.0
89,2,74630.0,0.6284949155529487
90,3,75050.0,0.7954432743760358
91,4,75270.0,1.0
92,5,75490.0,0.9782563751498661
93,6,75830.0,1.0
94,7,76100.0,1.0
95,8,76410.0,0.9239646616956606
96,1,76830.0,0.9851828001839479
97,2,77060.0,0.9677086140705797
98,3,77270.0,0.9675902705919224
99,4,77660.0,1.0
100,5,77870.0,0.9390020001186867
101,6,78100.0,1.0
102,7,78380.0,1.0
103,8,78730.0,1.0
104,1,78930.0,1.0
105,2,79160.0,0.9771490656419164
106,3,79480.0,0.9398661784419099
107,4,79710.0,1.0
108,5,79930.0,1.0
109,6,80200.0,0.9235870972355289
110,7,80530.0,1.0
111,8,80820.0,0.9906114924940678
112,1,81210.0,0.9834884392219619
113,2,81440.0,0.9854485133664169
114,3,81710.0,1.0
115,4,82020.0,1.0
116,5,82300.0,1.0
117,6,82580.0,1.0
118,7,82810.0,0.9136607690355831
119,8,83130.0,1.0
120,1,83320.0,1.0
121,2,83530.0,0.9864122504584161
122,3,83890.0,1.0
123,4,84070.0,1.0
124,5,84290.0,1.0
125,6,84640.0,1.0
126,7,84950.0,1.0
127,8,85250.0,0.8606243136512016
