,Bell No,Actual Time,Confidence
0,1,28300.0,1.0
1,2,28600.0,1.0
2,3,28980.0,1.0
3,4,29190.0,1.0
4,5,29530.0,1.0
5,6,29910.0,1.0
6,7,30030.0,1.0
7,8,30540.0,1.0
8,1,30740.0,1.0
9,2,31050.0,1.0
10,3,31360.0,1.0
11,4,31500.0,1.0
12,5,31770.0,1.0
13,6,32080.0,1.0
14,7,32370.0,1.0
15,8,32690.0,1.0
16,1,33090.0,1.0
17,2,33460.0,1.0
18,3,33780.0,1.0
19,4,34050.0,1.0
20,5,34310.0,1.0
21,6,34540.0,1.0
22,7,34820.0,1.0
23,8,35060.0,1.0
24,1,35590.0,1.0
25,2,35810.0,1.0
26,3,36100.0,1.0
27,4,36290.0,1.0
28,5,36450.0,1.0
29,6,36710.0,1.0
30,7,37030.0,1.0
31,8,37330.0,1.0
32,1,37900.0,1.0
33,2,38190.0,0.59989056021107
34,3,38470.0,0.8885108562381688
35,4,38710.0,1.0
36,5,38950.0,0.9886934810813595
37,6,39190.0,0.9765854709681846
38,7,39430.0,0.9835088479352868
39,8,39770.0,1.0
40,1,40090.0,1.0
41,2,40400.0,0.9626859231028483
42,3,40720.0,0.9720663047825773
43,4,40910.0,1.0
44,5,41070.0,1.0
45,6,41320.0,0.9580648480935186
46,7,41650.0,1.0
47,8,41950.0,1.0
48,1,42350.0,1.0
49,2,42640.0,0.9787816772158793
50,3,42890.0,0.9942999249175845
51,4,43210.0,1.0
52,5,43510.0,0.9398606505950906
53,6,43810.0,1.0
54,7,44060.0,1.0
55,8,44360.0,0.9388539371357313
56,1,44640.0,0.9272763363710562
57,2,44880.0,0.8145407744332106
58,3,45150.0,0.6119079358046257
59,4,45410.0,1.0
60,5,45630.0,0.9784459058622588
61,6,45960.0,1.0
62,7,46310.0,0.7219577115289637
63,8,46600.0,0.95098088657291
64,1,46880.0,0.6123337460678905
65,2,47190.0,1.0
66,3,47510.0,1.0
67,4,47780.0,0.9613600570985166
68,5,48120.0,0.9897595050357969
69,6,48370.0,1.0
70,7,48660.0,0.9939955297719789
71,8,48940.0,0.9843075979803925
72,1,49220.0,1.0
73,2,49510.0,0.9308730019395166
74,3,49770.0,0.9233051743795541
75,4,49920.0,1.0
76,5,50240.0,1.0
77,6,50530.0,0.9853743567759259
78,7,50870.0,1.0
79,8,51060.0,0.9381731431279456
80,2,51640.0,0.8755221102472753
81,1,52110.0,0.908720607994626
82,4,52290.0,1.0
83,3,52480.0,0.9937084972858755
84,6,52740.0,1.0
85,5,53030.0,0.9605824526030604
86,7,53160.0,1.0
87,8,53450.0,1.0
88,2,53870.0,0.9816281233664482
89,4,54090.0,0.991629706291535
90,1,54400.0,0.9658462033654642
91,6,54660.0,0.9177589256055442
92,3,54970.0,1.0
93,7,55200.0,1.0
94,5,55410.0,1.0
95,8,55670.0,0.40672452925627356
96,4,56200.0,1.0
97,2,56480.0,0.975830919835204
98,6,56770.0,1.0
99,1,56930.0,0.9874239181278319
100,7,57330.0,1.0
101,3,57440.0,0.9457863170001944
102,5,57760.0,1.0
103,8,58160.0,0.9770843522385105
104,4,58290.0,1.0
105,6,58640.0,0.9914932634309734
106,2,58940.0,1.0
107,7,59240.0,1.0
108,1,59400.0,0.9884785419778532
109,5,59720.0,1.0
110,3,59980.0,0.9116889429691241
111,8,60340.0,0.7577478072603783
112,6,60790.0,1.0
113,4,61020.0,0.8947902877726438
114,7,61330.0,1.0
115,2,61490.0,0.6427041356252227
116,5,61900.0,1.0
117,1,62070.0,0.9855973539797478
118,3,62350.0,0.9409429135614076
119,8,62650.0,1.0
120,6,62870.0,0.9861221186154353
121,7,63260.0,0.9691923713950696
122,4,63450.0,1.0
123,5,63750.0,1.0
124,2,64010.0,1.0
125,3,64430.0,0.9627583010366115
126,1,64660.0,0.9909647713919414
127,8,64960.0,1.0
128,7,65360.0,1.0
129,6,65640.0,1.0
130,5,65940.0,0.8796525930988174
131,4,66120.0,1.0
132,3,66410.0,0.9931032368830381
133,2,66630.0,0.5374797939567396
134,1,66910.0,1.0
135,8,67290.0,1.0
136,7,67640.0,0.9889360671435361
137,5,67890.0,1.0
138,6,68180.0,1.0
139,3,68510.0,1.0
140,4,68660.0,1.0
141,1,68790.0,0.9776300169467812
142,2,69110.0,0.9730738484732911
143,8,69340.0,0.9588090809390055
144,5,70070.0,0.9927515428374084
145,7,70320.0,0.9875750182400578
146,3,70570.0,0.9912772835817654
147,6,70870.0,1.0
148,1,70970.0,0.9921786652244512
149,4,71310.0,0.9747171514119551
150,2,71580.0,0.9502656901219471
151,8,71970.0,0.9361282533739036
152,5,72170.0,0.9753182423401139
153,3,72450.0,1.0
154,7,72730.0,0.9926236140685033
155,1,72900.0,0.7286309585644947
156,6,73250.0,0.9834458546586134
157,2,73530.0,0.9076320938142791
158,4,73800.0,0.9956030517096394
159,8,74080.0,0.9464741576805784
160,3,74660.0,0.9772186990823646
161,5,75010.0,1.0
