,Bell No,Actual Time,Confidence
0,1,46130.0,1.0
1,2,46400.0,1.0
2,3,46900.0,1.0
3,4,47260.0,1.0
4,5,47430.0,1.0
5,6,47870.0,1.0
6,1,48380.0,1.0
7,2,48620.0,1.0
8,3,49020.0,1.0
9,4,49330.0,1.0
10,5,49580.0,1.0
11,6,49980.0,1.0
12,1,50530.0,1.0
13,2,50840.0,1.0
14,3,51220.0,1.0
15,4,51510.0,1.0
16,5,51740.0,1.0
17,6,52120.0,1.0
18,1,52640.0,1.0
19,2,52870.0,1.0
20,3,53170.0,1.0
21,4,53480.0,1.0
22,5,53770.0,1.0
23,6,54130.0,1.0
24,1,54770.0,0.9724853682730475
25,2,55030.0,0.9640510713583587
26,3,55390.0,1.0
27,4,55700.0,1.0
28,5,55860.0,0.9475547183630223
29,6,56170.0,1.0
30,1,56860.0,0.9404460800714695
31,2,57060.0,1.0
32,3,57280.0,1.0
33,4,57650.0,1.0
34,5,57890.0,1.0
35,6,58280.0,1.0
36,1,58870.0,0.9895870486766964
37,2,59120.0,1.0
38,3,59450.0,1.0
39,4,59780.0,0.9240207181716034
40,5,60030.0,0.975106653051484
41,6,60360.0,0.9627174050850871
42,1,60930.0,1.0
43,2,61120.0,1.0
44,3,61380.0,1.0
45,4,61750.0,0.9778329333356403
46,5,62000.0,1.0
47,6,62390.0,0.981174003166406
48,1,62970.0,0.8540149711529933
49,2,63300.0,0.5864433060093569
50,3,63600.0,1.0
51,4,63920.0,0.9630088511343254
52,5,64120.0,1.0
53,6,64480.0,1.0
54,1,65140.0,1.0
55,2,65330.0,1.0
56,3,65640.0,1.0
57,4,65880.0,0.9401903986951224
58,5,66220.0,0.9539674113585718
59,6,66580.0,0.928303544431811
60,2,67140.0,1.0
61,1,67550.0,1.0
62,4,67810.0,0.9492743010458671
63,3,68110.0,1.0
64,6,68480.0,0.9181203261913431
65,5,68670.0,0.9878015324853876
66,2,69210.0,1.0
67,4,69550.0,1.0
68,1,69780.0,1.0
69,6,70190.0,1.0
70,3,70500.0,0.9895566886847297
71,5,70810.0,1.0
72,4,71410.0,1.0
73,2,71690.0,0.9922897887181286
74,6,72060.0,0.9805025562377241
75,1,72450.0,1.0
76,5,72630.0,0.981868213240641
77,3,72960.0,1.0
78,4,73340.0,0.9890956318763101
79,6,73760.0,1.0
80,2,73920.0,0.98451794207356
81,1,74460.0,1.0
82,3,74680.0,1.0
83,5,74870.0,0.9214864010184748
84,6,75570.0,0.9832643173450265
85,4,75760.0,0.894605785598938
86,1,76330.0,0.9905283682087577
87,2,76610.0,1.0
88,5,76800.0,1.0
89,3,77130.0,0.9654145487462426
90,6,77530.0,0.9712330963737653
91,1,77990.0,0.9748736412329478
92,4,78190.0,0.9801600707253391
93,5,78550.0,0.9635623679741775
94,2,78810.0,1.0
95,3,79240.0,1.0
96,1,79840.0,0.9158350273339843
97,6,79900.0,1.0
98,5,80390.0,0.9552495809236863
99,4,80650.0,0.4903439207700302
100,3,81100.0,1.0
101,2,81350.0,0.7846301651017451
102,1,82010.0,0.9397586841185323
103,6,82150.0,1.0
104,4,82490.0,0.9935104438156115
105,5,82560.0,1.0
106,2,83000.0,0.9947715111123617
107,3,83310.0,0.964402213605025
108,6,83990.0,1.0
109,1,84400.0,1.0
110,5,84600.0,1.0
111,4,84840.0,0.8724714134431669
112,3,85210.0,0.9642274319557028
113,2,85510.0,0.9127468670624266
114,6,85980.0,0.8360127981370845
115,5,86250.0,1.0
116,1,86630.0,1.0
117,3,86980.0,1.0
118,4,87270.0,0.9856207837719679
119,2,87560.0,0.9801391329268776
120,5,88130.0,1.0
121,6,88500.0,1.0
122,3,88820.0,1.0
123,1,89170.0,0.9710148384563922
124,2,89350.0,1.0
125,4,89680.0,0.9382357290019512
126,5,90150.0,1.0
127,3,90500.0,0.984921759623532
128,6,90910.0,0.9876345235935958
129,1,91070.0,0.9063663714706373
130,4,91450.0,1.0
131,2,91750.0,1.0
132,3,92390.0,1.0
133,5,92830.0,0.8678793348134081
134,1,93100.0,0.9222196843451602
135,6,93390.0,1.0
136,2,93570.0,0.6001205172232374
137,4,93970.0,1.0
138,3,94440.0,1.0
139,1,94830.0,1.0
140,5,94990.0,1.0
141,2,95360.0,0.9047762492219494
142,6,95700.0,0.9340663015507674
143,4,95990.0,1.0
144,5,96710.0,0.9763267489523684
145,1,96760.0,0.9617416014005653
146,3,97000.0,1.0
147,2,97310.0,0.9826583278134814
148,4,97830.0,1.0
149,6,98200.0,0.9912636171568852
150,5,98610.0,1.0
151,1,98760.0,1.0
152,3,98870.0,1.0
153,2,99290.0,0.9910741227619454
154,6,99900.0,0.9414204729668401
155,4,100160.0,0.8354742914266141
156,3,100810.0,1.0
157,1,101010.0,0.9754176623033827
158,5,101140.0,0.9902839915235475
159,2,101220.0,1.0
160,4,101900.0,0.9928236870602272
161,6,102330.0,0.9830013759349611
162,3,102740.0,1.0
163,2,102990.0,1.0
164,1,103250.0,0.956759484696878
165,5,103340.0,0.9174559495509212
166,4,103690.0,1.0
167,6,104320.0,0.9486603026839101
168,2,104890.0,0.9436720237115517
169,3,105230.0,0.96925268546105
170,4,105590.0,0.9092055101785373
171,1,105750.0,0.9682161023265657
172,5,105800.0,0.9830994281601022
173,6,106290.0,1.0
174,2,106940.0,0.9827068580542548
175,4,107280.0,0.8514072715245604
176,3,107600.0,1.0
177,1,107720.0,0.941392660316062
178,5,107960.0,1.0
179,6,108390.0,0.986946300503113
180,4,109070.0,0.9493850645101328
181,2,109380.0,1.0
182,1,109720.0,0.9860906633361767
183,3,110080.0,1.0
184,5,110360.0,0.8416452506843742
185,6,110440.0,1.0
186,4,111070.0,0.96581878789298
187,1,111310.0,1.0
188,2,111650.0,0.9794135010455293
189,6,112120.0,1.0
190,3,112340.0,0.8159887274247902
191,5,112380.0,1.0
192,1,113280.0,1.0
193,4,113590.0,0.7614825683425521
194,6,113940.0,0.9679240081669056
195,2,114050.0,1.0
196,5,114630.0,0.9627882061153904
197,3,114750.0,1.0
198,1,115390.0,0.8615242679234199
199,4,115560.0,1.0
200,2,115840.0,0.9933243099322181
201,6,116270.0,1.0
202,5,116370.0,0.9259822699552627
203,3,116530.0,1.0
204,4,117570.0,1.0
205,1,117710.0,1.0
206,6,118190.0,1.0
207,2,118300.0,0.9029148028741866
208,5,118330.0,1.0
209,3,118840.0,1.0
210,4,119530.0,1.0
211,6,119910.0,1.0
212,1,119980.0,0.9907055336483525
213,5,120250.0,0.9196641533033557
214,2,120520.0,1.0
215,3,120940.0,1.0
216,6,121680.0,1.0
217,4,121850.0,1.0
218,5,122030.0,0.9220944711800858
219,1,122270.0,0.9737981571278097
220,3,122740.0,1.0
221,2,123080.0,1.0
222,6,123640.0,0.9908042838142862
223,5,124100.0,1.0
224,4,124180.0,0.9918343099225772
225,1,124260.0,0.9543303426123936
226,2,124790.0,0.9866550712704044
227,3,125120.0,1.0
228,5,126110.0,0.9600808002862884
229,6,126160.0,0.958799688928436
230,1,126220.0,0.9525987960182669
231,4,126730.0,1.0
232,3,127040.0,1.0
233,2,127350.0,1.0
234,5,128020.0,1.0
235,1,128040.0,0.8283652153716049
236,6,128520.0,0.9811711722200147
237,3,128880.0,0.9842272577911039
238,4,129090.0,0.9727279569166781
239,2,129430.0,0.8513477270480393
240,1,129940.0,0.9386596910618032
241,5,130240.0,0.9858979483290368
242,3,130780.0,1.0
243,6,131030.0,1.0
244,2,131280.0,1.0
245,4,131520.0,1.0
246,1,132050.0,1.0
247,5,132320.0,1.0
248,6,132700.0,0.9812039610582327
249,3,133090.0,1.0
250,4,133260.0,0.9769360293283138
251,2,133600.0,1.0
252,5,134160.0,1.0
253,1,134470.0,0.9927252507183323
254,3,134880.0,1.0
255,6,135180.0,1.0
256,2,135400.0,0.9712226364560277
257,4,135750.0,0.9915987212823784
258,5,136210.0,1.0
259,3,136550.0,1.0
260,1,136710.0,0.9035001847454738
261,2,137280.0,0.9898124985376838
262,6,137520.0,0.9853776710128603
263,4,137780.0,1.0
264,3,138380.0,0.45449818751483123
265,5,138710.0,1.0
266,1,138890.0,0.9826202590562948
267,2,139080.0,1.0
268,4,139610.0,0.920737790782138
269,6,139940.0,1.0
270,3,140380.0,1.0
271,2,140670.0,1.0
272,5,141090.0,0.9842058459709832
273,1,141180.0,0.9597978713340148
274,6,141650.0,0.980239157341118
275,4,141940.0,0.9728925367493039
276,2,142500.0,1.0
277,3,142890.0,1.0
278,1,143040.0,0.9812425477896365
279,5,143480.0,0.9334073985802295
280,4,143770.0,0.9705875476888016
281,6,144160.0,1.0
282,2,144560.0,1.0
283,1,144810.0,0.9864773229559788
284,3,145080.0,1.0
285,4,145550.0,1.0
286,5,145830.0,1.0
287,6,146150.0,1.0
288,1,146790.0,1.0
289,2,147040.0,1.0
290,4,147420.0,0.8396558626415508
291,3,147680.0,1.0
292,6,148000.0,1.0
293,5,148210.0,0.7885514071744758
294,1,148820.0,1.0
295,2,149070.0,1.0
296,3,149470.0,1.0
297,4,149720.0,1.0
298,5,149940.0,0.9900265237673075
299,6,150460.0,0.990835908085644
300,2,150890.0,1.0
