,Bell No,Actual Time,Confidence
0,1,13380.0,1.0
1,2,13770.0,1.0
2,3,14130.0,1.0
3,4,14460.0,1.0
4,5,14830.0,1.0
5,6,15050.0,1.0
6,7,15240.0,1.0
7,8,15920.0,1.0
8,1,15660.0,1.0
9,2,16200.0,1.0
10,3,16380.0,1.0
11,4,16620.0,1.0
12,5,16850.0,1.0
13,6,17280.0,1.0
14,7,17450.0,1.0
15,8,17890.0,1.0
16,1,18190.0,1.0
17,2,18540.0,1.0
18,3,18770.0,1.0
19,4,19120.0,1.0
20,5,19330.0,1.0
21,6,19690.0,1.0
22,7,19800.0,1.0
23,8,20290.0,1.0
24,1,20500.0,1.0
25,2,20750.0,1.0
26,3,20990.0,1.0
27,5,21370.0,1.0
28,4,21450.0,1.0
29,6,21680.0,1.0
30,7,21970.0,1.0
31,8,22440.0,1.0
32,1,22820.0,0.9927659014437477
33,2,23050.0,0.9239615687041229
34,3,23320.0,0.7960013329228621
35,4,23550.0,1.0
36,5,23860.0,1.0
37,6,24100.0,1.0
38,7,24350.0,1.0
39,8,24690.0,0.9303892800177965
40,1,24940.0,1.0
41,2,25150.0,1.0
42,3,25460.0,0.9717890184817731
43,4,25750.0,1.0
44,5,25940.0,1.0
45,6,26260.0,0.9836351802981314
46,7,26460.0,1.0
47,8,26880.0,0.948514092880873
48,1,27330.0,0.9866236210605638
49,2,27490.0,0.9925755207531278
50,3,27780.0,0.9907312810959681
51,4,28030.0,0.9578129461258976
52,5,28390.0,1.0
53,6,28580.0,1.0
54,7,28800.0,1.0
55,8,29060.0,1.0
56,1,29420.0,1.0
57,2,29680.0,0.9801234918235512
58,3,29940.0,0.9588639057382204
59,4,30150.0,1.0
60,5,30430.0,0.9853506002865621
61,6,30730.0,1.0
62,7,30920.0,1.0
63,8,31320.0,0.9766286200780004
64,1,31760.0,1.0
65,2,31980.0,0.9793070326588387
66,3,32240.0,1.0
67,4,32500.0,0.9884456577054587
68,5,32760.0,1.0
69,6,33050.0,1.0
70,7,33270.0,1.0
71,8,33570.0,0.9179991280063649
72,1,33830.0,1.0
73,2,34080.0,0.988499936465715
74,3,34280.0,0.98526706047361
75,4,34610.0,1.0
76,5,34850.0,0.9924430641953105
77,6,35180.0,1.0
78,7,35390.0,0.9814561104972795
79,8,35800.0,0.9565834352926236
80,1,36210.0,1.0
81,2,36410.0,0.8500049108360861
82,3,36620.0,0.9903450251058807
83,4,36910.0,0.9428122439296405
84,5,37260.0,1.0
85,6,37440.0,1.0
86,7,37740.0,0.9937528130670107
87,8,38150.0,1.0
88,1,38410.0,1.0
89,2,38500.0,0.32158631198051907
90,3,38840.0,1.0
91,4,39100.0,1.0
92,5,39320.0,1.0
93,6,39600.0,1.0
94,7,39830.0,0.9367958347920095
95,8,40240.0,0.8107207139462221
96,1,40540.0,1.0
97,2,40820.0,0.9849697502033834
98,3,41190.0,0.9631939600052867
99,4,41530.0,1.0
100,5,41680.0,1.0
101,6,41900.0,0.9861827879983192
102,7,42190.0,0.9762095912309128
103,8,42540.0,1.0
104,1,42690.0,1.0
105,2,42940.0,1.0
106,3,43240.0,0.9795010349020101
107,4,43530.0,1.0
108,5,43750.0,1.0
109,6,44080.0,0.9687525147190891
110,7,44260.0,1.0
111,8,44650.0,0.977606884849639
112,1,45030.0,1.0
113,2,45350.0,0.9820987922660298
114,3,45590.0,0.9533253187544879
115,4,45930.0,1.0
116,5,46170.0,1.0
117,6,46360.0,0.9900522464855709
118,7,46580.0,0.9941725671468445
119,8,46910.0,1.0
120,1,47170.0,1.0
121,2,47320.0,1.0
122,3,47680.0,0.9197244327551136
123,4,47950.0,1.0
124,5,48230.0,0.9760154110274611
125,6,48530.0,0.9713242002342574
126,7,48750.0,0.9500092731718714
127,8,48950.0,0.943220146751538
128,1,49650.0,1.0
129,2,49720.0,0.8307867695401049
130,3,50010.0,0.9838900901150954
131,4,50230.0,0.9856812519184199
132,5,50510.0,1.0
133,6,50780.0,1.0
134,7,51010.0,1.0
135,8,51370.0,0.9765579598113283
136,1,51610.0,1.0
137,2,51880.0,1.0
138,3,52100.0,0.8234837367646125
139,4,52390.0,0.9863606297934672
140,5,52570.0,1.0
141,6,52910.0,0.9947988470022454
142,7,53110.0,0.9852150454894963
143,8,53480.0,0.9683513504638743
144,1,53910.0,1.0
145,2,54190.0,0.6295628228963792
146,3,54520.0,0.40903907288406854
147,4,54730.0,0.9106709913289488
148,5,54980.0,1.0
149,6,55160.0,0.8851727425169439
150,7,55400.0,1.0
151,8,55790.0,1.0
152,1,56020.0,1.0
153,2,56320.0,1.0
154,3,56470.0,0.973975200464554
155,4,56780.0,1.0
156,5,57070.0,0.9766448574069858
157,6,57330.0,1.0
158,7,57570.0,0.9744184302869373
159,8,57850.0,0.9724256717942598
160,1,58280.0,0.9832113221455674
161,2,58540.0,0.8511446526583063
162,3,58900.0,1.0
163,4,59130.0,0.9711420281329259
164,5,59410.0,0.9706230573446818
165,6,59640.0,0.839499867294394
166,7,59860.0,1.0
167,8,60080.0,0.9621087724204863
168,1,60430.0,1.0
169,2,60610.0,1.0
170,3,60840.0,0.8053756681844872
171,4,61150.0,0.9872340962853328
172,5,61460.0,0.986945311850695
173,6,61760.0,1.0
174,7,61960.0,1.0
175,8,62360.0,0.8938855873969456
176,1,62740.0,1.0
177,2,62980.0,0.9261956729451134
178,3,63170.0,1.0
179,4,63420.0,1.0
180,5,63730.0,0.9252512821885154
181,6,63950.0,1.0
182,7,64180.0,0.9910612051053022
183,8,64680.0,0.9868046889487545
184,1,64850.0,0.6808959030604845
185,2,65100.0,0.7274489920438589
186,3,65270.0,0.8871717731854157
187,4,65560.0,1.0
188,5,65840.0,0.980184270543225
189,6,66130.0,0.9871189357527369
190,7,66340.0,1.0
191,8,66730.0,1.0
192,1,67100.0,0.9855792112350743
193,2,67380.0,0.9934004431219707
194,3,67720.0,0.988101164730719
195,4,67860.0,0.9387438004930506
196,5,68130.0,1.0
197,6,68390.0,1.0
198,7,68650.0,1.0
199,8,69010.0,0.9826598489178126
200,1,69260.0,1.0
201,2,69490.0,1.0
202,3,69750.0,0.8083591725293697
203,4,70030.0,1.0
204,5,70260.0,1.0
205,6,70540.0,1.0
206,7,70790.0,0.9509272674265784
207,8,71130.0,1.0
208,1,71550.0,0.9223420913687046
209,2,71900.0,0.9464195689389285
210,3,72050.0,0.7488628706711745
211,4,72200.0,0.9922327632994956
212,5,72610.0,1.0
213,6,72830.0,1.0
214,7,73110.0,1.0
215,8,73310.0,1.0
216,1,73630.0,1.0
217,2,73940.0,0.9755410245248574
218,3,74190.0,0.9402868264918515
219,4,74520.0,1.0
220,5,74700.0,1.0
221,6,75000.0,1.0
222,7,75190.0,0.9860972180355724
223,8,75530.0,0.8850017017600087
224,1,75900.0,0.9765010689561253
225,2,76230.0,0.841889065528412
226,3,76520.0,0.7895792039971322
227,4,76760.0,0.975780618825249
228,5,77070.0,0.9921118641010939
229,6,77270.0,1.0
230,7,77500.0,1.0
231,8,77680.0,0.9072293346634316
232,1,78010.0,1.0
233,2,78320.0,0.9053389606531155
234,3,78610.0,1.0
235,4,78950.0,1.0
236,5,79100.0,0.9809192858213622
237,6,79450.0,0.9905128232866315
238,7,79550.0,0.9858226655604134
239,8,79920.0,0.9641733030396827
240,1,80370.0,1.0
241,2,80620.0,0.9891441374159282
242,3,80990.0,1.0
243,4,81250.0,1.0
244,5,81480.0,1.0
245,6,81680.0,0.8317739511666208
246,7,81820.0,1.0
247,8,82320.0,1.0
248,1,82470.0,0.8803300618405742
249,2,82770.0,0.9680202019191596
250,3,83000.0,0.9273157613363618
251,4,83300.0,0.9756917024902384
252,5,83540.0,0.9892966195785977
253,6,83780.0,1.0
254,7,84010.0,1.0
255,8,84360.0,0.958129016707037
256,1,84800.0,0.9893436137010783
257,2,85060.0,0.9601088664404107
258,3,85340.0,1.0
259,4,85630.0,1.0
260,5,85820.0,0.9128710612287616
261,6,86120.0,1.0
262,7,86390.0,1.0
263,8,86690.0,1.0
264,1,86950.0,1.0
265,2,87270.0,0.9875295831209578
