,Bell No,Actual Time,Confidence
0,1,52250.0,1.0
1,2,52710.0,1.0
2,3,52720.0,1.0
3,4,53310.0,1.0
4,5,53690.0,1.0
5,6,54040.0,1.0
6,1,54300.0,1.0
7,2,54730.0,1.0
8,3,55150.0,1.0
9,4,55480.0,1.0
10,5,55690.0,1.0
11,6,56160.0,1.0
12,1,56660.0,1.0
13,2,57000.0,1.0
14,3,57260.0,1.0
15,4,57630.0,1.0
16,5,57900.0,1.0
17,6,58290.0,1.0
18,1,58640.0,1.0
19,2,59040.0,1.0
20,3,59350.0,1.0
21,4,59550.0,1.0
22,5,59900.0,1.0
23,6,60400.0,1.0
24,1,60950.0,0.947951315783078
25,2,61210.0,1.0
26,3,61480.0,1.0
27,4,61800.0,0.9009201616690334
28,5,62110.0,0.8485958708293906
29,6,62500.0,1.0
30,1,62830.0,0.9456964709112028
31,2,63120.0,1.0
32,3,63510.0,1.0
33,4,63730.0,1.0
34,5,64100.0,0.9537170677413928
35,6,64540.0,0.9071252624501136
36,1,65090.0,0.8515690091404237
37,2,65320.0,1.0
38,3,65650.0,0.9792334498994774
39,4,65890.0,0.8849676476856441
40,5,66270.0,1.0
41,6,66640.0,1.0
42,1,66960.0,0.9712556033912008
43,2,67310.0,1.0
44,3,67700.0,1.0
45,4,67840.0,1.0
46,5,68210.0,0.9372471786673419
47,6,68670.0,0.9650844235233039
48,1,69280.0,0.90404217790138
49,2,69590.0,0.9529815440106166
50,3,69870.0,0.9122771848815605
51,4,70140.0,0.9216183326727825
52,5,70430.0,1.0
53,6,70810.0,0.9316989591312527
54,1,71120.0,0.9852119396052348
55,2,71510.0,1.0
56,3,71850.0,1.0
57,4,72050.0,0.9106835837619869
58,5,72420.0,1.0
59,6,72920.0,0.9003011643095914
60,1,73490.0,0.9861781104967775
61,2,73700.0,1.0
62,3,73990.0,0.90445230243105
63,4,74280.0,0.9911390757159825
64,5,74620.0,1.0
65,6,75000.0,1.0
66,1,75300.0,1.0
67,2,75680.0,1.0
68,3,76030.0,1.0
69,4,76220.0,0.8315877098535382
70,5,76640.0,1.0
71,6,77090.0,1.0
72,1,77630.0,0.9812730225308617
73,2,77900.0,1.0
74,3,78240.0,1.0
75,4,78480.0,0.9859772815119693
76,5,78830.0,0.9727072096032904
77,6,79230.0,0.9834768668126996
78,1,79480.0,1.0
79,2,79850.0,1.0
80,3,80240.0,0.9849322519992064
81,4,80470.0,0.8336352671648578
82,5,80810.0,1.0
83,6,81290.0,0.30493954846511423
84,1,81860.0,1.0
85,2,82060.0,1.0
86,3,82390.0,1.0
87,4,82680.0,0.9092561448507565
88,5,83040.0,0.854372201558602
89,6,83480.0,0.9739470337751852
90,1,83690.0,0.9665799293170451
91,2,84050.0,0.992192938080368
92,3,84440.0,0.9913030253565386
93,4,84690.0,0.9892459302330807
94,5,85100.0,0.9642625883642223
95,6,85500.0,1.0
96,2,85980.0,0.9829035039212877
97,1,86070.0,0.9287960482258032
98,4,86700.0,0.9285213534757308
99,3,86940.0,0.9818632294171615
100,6,87310.0,0.6539755504070293
101,5,87600.0,1.0
102,1,87890.0,0.9834095189881459
103,2,88140.0,1.0
104,4,88570.0,1.0
105,3,89030.0,1.0
106,5,89310.0,0.9271590975659595
107,6,89720.0,0.9143311269669991
108,2,90150.0,0.9217085218807588
109,1,90490.0,0.6201002531449883
110,3,90780.0,0.5693939959751108
111,4,91170.0,1.0
112,6,91540.0,1.0
113,5,91820.0,0.9845979303989767
114,2,92080.0,0.9701933586906839
115,3,92510.0,1.0
116,1,92600.0,0.9674499198805758
117,4,93110.0,0.9584215267726848
118,5,93510.0,0.9534032769014598
119,6,93920.0,0.9922111784857097
120,3,94350.0,0.8017256908006223
121,2,94640.0,1.0
122,4,94920.0,0.9612230864525005
123,1,95210.0,0.8468345190513603
124,6,95840.0,0.8483115130647252
125,5,95990.0,0.8549817200077314
126,3,96330.0,1.0
127,2,96590.0,1.0
128,1,96880.0,0.8208135007660459
129,4,97160.0,1.0
130,5,97600.0,0.9372100009605834
131,6,98110.0,0.9845133528655743
132,2,98560.0,1.0
133,3,98880.0,0.986017582433412
134,4,99150.0,0.9793638862883327
135,1,99370.0,0.9801260949937497
136,6,99910.0,1.0
137,5,100210.0,0.9508897000570808
138,3,100620.0,1.0
139,2,100720.0,1.0
140,4,101100.0,1.0
141,6,101670.0,1.0
142,1,101800.0,0.9907801133267734
143,5,102120.0,0.98838668969013
144,2,102820.0,1.0
145,3,103100.0,1.0
146,6,103430.0,1.0
147,4,103710.0,0.8488830736486238
148,5,104000.0,1.0
149,1,104290.0,0.9181902979224661
150,2,104780.0,1.0
151,6,105230.0,1.0
152,3,105440.0,1.0
153,4,105660.0,1.0
154,1,105950.0,0.8061133156861483
155,5,106310.0,0.9926300661293103
156,6,106970.0,1.0
157,2,107250.0,0.9436392588795045
158,4,107630.0,1.0
159,3,107910.0,0.9807103090184827
160,5,108220.0,1.0
161,1,108560.0,0.9224217360884864
162,2,108970.0,0.9654530032024319
163,6,109300.0,0.983931334307356
164,4,109470.0,0.9809594106503702
165,5,109900.0,1.0
166,3,110370.0,0.9917697643448092
167,1,110540.0,0.83323163149118
168,6,111280.0,0.914443354022789
169,2,111480.0,0.9465316583807936
170,5,111820.0,1.0
171,4,112090.0,0.838524836643926
172,1,112360.0,0.7869642584194042
