,Bell No,Actual Time,Confidence
0,2,48510.0,1.0
1,1,48600.0,1.0
2,3,49280.0,1.0
3,4,49530.0,1.0
4,5,49880.0,1.0
5,6,50330.0,1.0
6,1,50450.0,1.0
7,2,50760.0,1.0
8,3,51150.0,1.0
9,4,51530.0,1.0
10,5,51850.0,1.0
11,6,52320.0,1.0
12,1,52790.0,1.0
13,2,53030.0,1.0
14,3,53260.0,1.0
15,4,53570.0,1.0
16,5,53860.0,1.0
17,6,54260.0,1.0
18,1,54580.0,0.9936491247319692
19,2,54940.0,0.9572419550372364
20,3,55290.0,1.0
21,4,55540.0,1.0
22,5,55790.0,1.0
23,6,56180.0,1.0
24,1,56760.0,1.0
25,2,57020.0,0.9909254104476812
26,3,57370.0,1.0
27,4,57620.0,1.0
28,5,57840.0,1.0
29,6,58110.0,0.9632701735237205
30,1,58520.0,1.0
31,2,58940.0,1.0
32,3,59270.0,0.9860300364152077
33,4,59540.0,0.9901064756851952
34,5,59820.0,1.0
35,6,60030.0,0.9924266175818464
36,1,60720.0,0.8996720543789318
37,2,61060.0,0.9350628645737856
38,3,61320.0,0.9910516967542149
39,4,61570.0,1.0
40,5,61810.0,1.0
41,6,62020.0,0.9829881510888068
42,1,62450.0,1.0
43,2,62890.0,1.0
44,3,63260.0,0.9794648923974203
45,4,63510.0,1.0
46,5,63830.0,1.0
47,6,63940.0,0.9941670860131206
48,1,64640.0,1.0
49,2,64930.0,0.9709516033120775
50,3,65220.0,0.9913469131091577
51,4,65520.0,1.0
52,5,65720.0,1.0
53,6,65900.0,0.5773060819596227
54,1,66420.0,1.0
55,2,66850.0,1.0
56,3,67160.0,1.0
57,4,67380.0,1.0
58,5,67620.0,1.0
59,6,68020.0,1.0
60,1,68610.0,1.0
61,2,68910.0,1.0
62,3,69200.0,0.9466317705776556
63,4,69470.0,1.0
64,5,69650.0,1.0
65,6,70070.0,1.0
66,1,70360.0,1.0
67,2,70830.0,1.0
68,3,71150.0,1.0
69,4,71400.0,1.0
70,5,71630.0,1.0
71,6,71990.0,1.0
72,1,72570.0,1.0
73,2,72850.0,1.0
74,3,73150.0,1.0
75,4,73380.0,1.0
76,5,73740.0,1.0
77,6,73970.0,1.0
78,1,74330.0,1.0
79,2,74710.0,1.0
80,3,75060.0,1.0
81,4,75310.0,1.0
82,5,75670.0,1.0
83,6,75870.0,1.0
84,1,76490.0,1.0
85,2,76780.0,1.0
86,3,77040.0,1.0
87,4,77300.0,0.9798973449340048
88,5,77470.0,1.0
89,6,77870.0,1.0
90,1,78260.0,1.0
91,2,78680.0,1.0
92,3,78970.0,0.9878899220728955
93,4,79210.0,1.0
94,5,79450.0,0.9907207980797014
95,6,79760.0,1.0
96,1,80410.0,1.0
97,2,80770.0,1.0
98,3,80970.0,1.0
99,4,81250.0,0.976846103987328
100,5,81470.0,1.0
101,6,81720.0,1.0
102,1,82150.0,0.9594236357887235
103,2,82680.0,1.0
104,3,82950.0,1.0
105,4,83120.0,1.0
106,5,83460.0,1.0
107,6,83660.0,0.9892828751960987
108,1,84280.0,1.0
109,2,84550.0,0.9788345974259136
110,3,84910.0,1.0
111,4,85210.0,1.0
112,5,85420.0,1.0
113,6,85670.0,1.0
114,1,86020.0,0.989172256848855
115,2,86380.0,1.0
116,3,86780.0,1.0
117,4,86980.0,0.9717742764174746
118,5,87340.0,1.0
119,6,87640.0,1.0
120,1,88170.0,1.0
121,2,88380.0,0.9783767669748621
122,3,88680.0,0.9905242780377779
123,4,88940.0,1.0
124,5,89270.0,1.0
125,6,89620.0,0.9430522933326374
126,1,89940.0,1.0
127,2,90260.0,1.0
128,3,90600.0,1.0
129,4,90810.0,0.9906633636805706
130,5,91150.0,1.0
131,6,91520.0,1.0
132,1,91710.0,0.6463819171715823
133,2,92290.0,0.9042743010932701
134,3,92610.0,0.82392504271384
135,4,92860.0,0.9754378567241241
136,5,93190.0,1.0
137,6,93470.0,0.8952565664516501
138,1,93800.0,1.0
139,2,94110.0,0.9838700725188344
140,3,94510.0,0.9799745114900633
141,4,94800.0,1.0
142,5,95050.0,1.0
143,6,95330.0,1.0
144,2,95790.0,1.0
145,1,96100.0,1.0
146,4,96420.0,1.0
147,3,96740.0,1.0
148,5,97050.0,0.9745260980276399
149,6,97240.0,1.0
150,2,97710.0,1.0
151,4,98020.0,1.0
152,1,98260.0,1.0
153,5,98640.0,1.0
154,3,98940.0,1.0
155,6,99210.0,0.9799446455364729
156,4,99780.0,1.0
157,2,100080.0,1.0
158,5,100340.0,1.0
159,1,100640.0,1.0
160,3,100960.0,1.0
161,6,101240.0,1.0
162,4,101580.0,1.0
163,5,101910.0,1.0
164,2,102250.0,0.992742821286791
165,3,102600.0,1.0
166,1,102840.0,1.0
167,6,103200.0,1.0
168,5,103600.0,1.0
169,4,103930.0,0.9862809197823031
170,3,104270.0,1.0
171,2,104550.0,1.0
172,1,104800.0,1.0
173,6,105160.0,0.9813270049874483
174,5,105470.0,1.0
175,3,105880.0,0.943875019481956
176,4,106180.0,1.0
177,1,106390.0,1.0
178,2,106790.0,1.0
179,6,107090.0,1.0
180,3,107550.0,0.9596936054805901
181,5,107810.0,0.9899235298018939
182,1,108200.0,0.8621805433350324
183,4,108540.0,0.7786927022597341
184,2,108880.0,1.0
185,6,108970.0,0.2811680400303985
186,3,109450.0,0.9399357887407354
187,1,109670.0,1.0
188,5,109970.0,1.0
189,2,110420.0,1.0
190,4,110830.0,1.0
191,6,110990.0,1.0
192,1,111490.0,1.0
193,3,111690.0,1.0
194,2,112250.0,1.0
195,5,112360.0,1.0
196,4,112680.0,1.0
197,6,112890.0,1.0
198,1,113290.0,0.9947393565485126
199,3,113680.0,1.0
200,2,113830.0,1.0
201,5,113900.0,0.9940872069384028
202,4,114540.0,1.0
203,6,114820.0,1.0
204,3,115320.0,1.0
205,1,115600.0,0.9828665769824582
206,2,115780.0,0.8910493110214632
207,5,116050.0,1.0
208,4,116460.0,1.0
209,6,116880.0,1.0
210,3,117200.0,1.0
211,2,117350.0,1.0
212,1,117680.0,1.0
213,4,118060.0,1.0
214,5,118260.0,1.0
215,6,118750.0,1.0
216,2,119220.0,0.9885372315026105
217,3,119500.0,1.0
218,4,119810.0,1.0
219,1,120100.0,1.0
220,5,120310.0,1.0
221,6,120720.0,1.0
222,2,121140.0,0.9759291551100122
223,4,121390.0,1.0
224,3,121670.0,0.9894480956262425
225,5,121960.0,1.0
226,1,122260.0,0.9927826872805267
227,6,122600.0,1.0
228,4,123100.0,0.9683587665172607
229,2,123470.0,1.0
230,5,123760.0,1.0
231,3,124020.0,1.0
232,1,124290.0,0.8297041522180405
233,6,124590.0,1.0
234,4,125010.0,1.0
235,5,125340.0,1.0
236,2,125550.0,1.0
237,1,125830.0,1.0
238,3,126220.0,1.0
239,6,126450.0,1.0
240,5,127010.0,1.0
241,4,127300.0,1.0
242,1,127570.0,1.0
243,2,127910.0,1.0
244,3,128230.0,1.0
245,6,128410.0,1.0
246,5,128850.0,1.0
247,1,129130.0,0.9903563255103396
248,4,129540.0,1.0
249,3,129850.0,0.9890949685703798
250,2,130020.0,1.0
251,6,130300.0,1.0
252,1,130970.0,1.0
253,5,131160.0,1.0
254,3,131680.0,1.0
255,4,131840.0,1.0
256,2,132220.0,0.9839405525597932
257,6,132390.0,1.0
258,1,132730.0,1.0
