,Bell No,Actual Time,Confidence
0,1,28160.0,1.0
1,2,28620.0,1.0
2,3,28920.0,1.0
3,4,29140.0,1.0
4,5,29370.0,1.0
5,6,30010.0,1.0
6,1,30120.0,1.0
7,2,30540.0,1.0
8,3,30900.0,1.0
9,4,31030.0,1.0
10,5,31400.0,1.0
11,6,31860.0,1.0
12,1,32350.0,1.0
13,2,32690.0,1.0
14,3,32990.0,1.0
15,4,33230.0,1.0
16,5,33540.0,1.0
17,6,33960.0,1.0
18,1,34190.0,1.0
19,2,34610.0,1.0
20,3,34970.0,1.0
21,4,35260.0,1.0
22,5,35580.0,1.0
23,6,35910.0,1.0
24,1,36370.0,1.0
25,2,36700.0,1.0
26,3,37050.0,1.0
27,4,37260.0,1.0
28,5,37560.0,1.0
29,6,37980.0,1.0
30,1,38270.0,1.0
31,2,38660.0,1.0
32,3,38960.0,1.0
33,4,39220.0,1.0
34,5,39520.0,1.0
35,6,39950.0,1.0
36,1,40460.0,1.0
37,2,40750.0,1.0
38,3,41060.0,1.0
39,4,41290.0,1.0
40,5,41610.0,1.0
41,6,42070.0,0.9755008925084095
42,1,42310.0,0.9791685177288828
43,2,42660.0,1.0
44,3,42920.0,1.0
45,4,43280.0,1.0
46,5,43570.0,1.0
47,6,44050.0,1.0
48,1,44500.0,1.0
49,2,44790.0,1.0
50,3,45080.0,1.0
51,4,45350.0,1.0
52,5,45660.0,1.0
53,6,46140.0,1.0
54,1,46390.0,0.9805339919676106
55,2,46730.0,1.0
56,3,46980.0,1.0
57,4,47380.0,0.9811461590301029
58,5,47650.0,1.0
59,6,48000.0,1.0
60,1,48540.0,1.0
61,2,48840.0,1.0
62,3,49170.0,1.0
63,4,49380.0,1.0
64,5,49690.0,1.0
65,6,50140.0,1.0
66,1,50390.0,1.0
67,2,50760.0,1.0
68,3,51060.0,1.0
69,4,51420.0,1.0
70,5,51690.0,1.0
71,6,52070.0,1.0
72,1,52580.0,1.0
73,2,52880.0,1.0
74,3,53180.0,1.0
75,4,53440.0,1.0
76,5,53750.0,1.0
77,6,54200.0,1.0
78,1,54390.0,0.9473918480075251
79,2,54800.0,1.0
80,3,55080.0,1.0
81,4,55460.0,1.0
82,5,55710.0,1.0
83,6,56150.0,1.0
84,1,56610.0,0.9637961637611184
85,2,56900.0,1.0
86,3,57170.0,1.0
87,4,57480.0,1.0
88,5,57790.0,1.0
89,6,58200.0,1.0
90,1,58490.0,0.7330097040780712
91,2,58840.0,1.0
92,3,59070.0,0.9785189860907562
93,4,59470.0,1.0
94,5,59750.0,1.0
95,6,60180.0,1.0
96,1,60660.0,1.0
97,2,60970.0,1.0
98,3,61230.0,1.0
99,4,61540.0,1.0
100,5,61860.0,1.0
101,6,62260.0,0.8225238245593806
102,1,62590.0,0.9901200105772956
103,2,62880.0,1.0
104,3,63120.0,1.0
105,4,63550.0,1.0
106,5,63800.0,1.0
107,6,64260.0,0.9937811703457337
108,2,64750.0,1.0
109,1,64980.0,1.0
110,4,65300.0,1.0
111,3,65600.0,0.9826434353468815
112,5,65910.0,1.0
113,6,66310.0,1.0
114,2,66670.0,1.0
115,4,67030.0,1.0
116,1,67320.0,0.9883908399519911
117,5,67600.0,1.0
118,3,67810.0,0.9922617303629206
119,6,68320.0,1.0
120,4,68770.0,1.0
121,2,69130.0,1.0
122,5,69380.0,0.13218753517856563
123,1,69680.0,1.0
124,3,70000.0,1.0
125,6,70370.0,1.0
126,4,70780.0,1.0
127,5,71020.0,1.0
128,2,71380.0,1.0
129,3,71610.0,1.0
130,1,71880.0,1.0
131,6,72440.0,1.0
132,5,72880.0,1.0
133,4,73140.0,1.0
134,3,73430.0,1.0
135,2,73810.0,1.0
136,1,74020.0,0.9901439307241172
137,6,74470.0,0.9797632713647603
138,5,74770.0,1.0
139,3,75050.0,1.0
140,4,75470.0,1.0
141,1,75680.0,1.0
142,2,76100.0,0.9914727032628992
143,6,76520.0,0.9940500519470934
144,3,76840.0,1.0
145,5,77090.0,1.0
146,1,77490.0,1.0
147,4,77820.0,1.0
148,2,78190.0,1.0
149,6,78620.0,1.0
150,3,78850.0,1.0
151,1,79150.0,1.0
152,5,79470.0,1.0
153,2,79870.0,0.9898163195818571
