,Bell No,Actual Time,Confidence
0,1,33180.0,1.0
1,2,33520.0,1.0
2,3,33820.0,1.0
3,4,34040.0,1.0
4,5,34380.0,1.0
5,6,34820.0,1.0
6,1,35200.0,1.0
7,2,35530.0,1.0
8,3,35780.0,1.0
9,4,36110.0,1.0
10,5,36320.0,1.0
11,6,36730.0,1.0
12,1,37200.0,1.0
13,2,37500.0,1.0
14,3,37830.0,1.0
15,4,38080.0,1.0
16,5,38370.0,1.0
17,6,38550.0,1.0
18,1,38960.0,1.0
19,2,39380.0,1.0
20,3,39650.0,1.0
21,4,39960.0,1.0
22,5,40220.0,1.0
23,6,40460.0,1.0
24,1,41000.0,1.0
25,2,41280.0,1.0
26,3,41550.0,0.9852796467156354
27,4,41850.0,1.0
28,5,42210.0,0.9491947336100486
29,6,42450.0,1.0
30,1,42730.0,1.0
31,2,43150.0,1.0
32,3,43410.0,1.0
33,4,43690.0,1.0
34,5,43950.0,1.0
35,6,44300.0,1.0
36,1,44830.0,1.0
37,2,45100.0,1.0
38,3,45330.0,0.9808627055704348
39,4,45610.0,1.0
40,5,45950.0,1.0
41,6,46270.0,0.7345089571801124
42,1,46580.0,1.0
43,2,46990.0,1.0
44,3,47260.0,0.9569230632648072
45,4,47530.0,0.9252103459931703
46,5,47760.0,1.0
47,6,48120.0,0.9568799302410075
48,1,48620.0,1.0
49,2,48880.0,1.0
50,3,49150.0,0.8848609844258204
51,4,49480.0,1.0
52,5,49780.0,1.0
53,6,50160.0,1.0
54,1,50400.0,0.9773197581812642
55,2,50840.0,1.0
56,3,51030.0,0.9083073884705007
57,4,51360.0,1.0
58,5,51610.0,1.0
59,6,52030.0,0.9942853494326744
60,2,52410.0,1.0
61,1,52710.0,1.0
62,4,52990.0,0.24688825403081693
63,3,53290.0,0.9866054288302899
64,5,53570.0,1.0
65,6,54010.0,1.0
66,2,54210.0,1.0
67,4,54520.0,1.0
68,1,54820.0,1.0
69,5,55150.0,1.0
70,3,55410.0,1.0
71,6,55900.0,1.0
72,4,56340.0,1.0
73,2,56540.0,1.0
74,5,56850.0,1.0
75,1,57180.0,0.9880387044279286
76,3,57360.0,1.0
77,6,57850.0,1.0
78,4,58140.0,1.0
79,5,58440.0,0.988078109107416
80,2,58800.0,1.0
81,3,59060.0,1.0
82,1,59240.0,0.9788320138520888
83,6,59690.0,0.9532472358809962
84,5,60200.0,1.0
85,4,60500.0,1.0
86,3,60720.0,1.0
87,2,61000.0,1.0
88,1,61270.0,1.0
89,6,61730.0,1.0
90,5,62010.0,0.9937594758194802
91,3,62290.0,1.0
92,4,62600.0,1.0
93,1,62870.0,1.0
94,2,63310.0,1.0
95,6,63590.0,1.0
96,3,63960.0,1.0
97,5,64270.0,1.0
98,1,64630.0,1.0
99,4,64920.0,0.9654666297355752
100,2,65120.0,1.0
101,6,65620.0,1.0
102,3,65830.0,1.0
103,1,66160.0,1.0
104,5,66490.0,0.989329187931523
105,2,66710.0,1.0
106,4,67050.0,1.0
107,6,67510.0,0.9829493235456835
108,1,67940.0,0.9855641119378687
109,3,68220.0,0.9307220445912263
110,2,68490.0,1.0
111,5,68770.0,1.0
112,4,69130.0,1.0
113,6,69420.0,1.0
114,1,69740.0,1.0
115,2,70030.0,1.0
116,3,70300.0,0.9009525904824934
117,4,70640.0,1.0
118,5,70930.0,1.0
119,6,71360.0,1.0
120,2,71720.0,1.0
121,1,72010.0,1.0
122,4,72340.0,0.17478390303354874
123,3,72630.0,1.0
124,5,72930.0,1.0
125,6,73380.0,1.0
126,2,73480.0,1.0
127,4,73850.0,1.0
128,1,74160.0,1.0
129,5,74520.0,1.0
130,3,74780.0,1.0
131,6,75280.0,1.0
132,4,75690.0,1.0
133,2,75940.0,1.0
134,5,76200.0,0.9851148309248507
135,1,76530.0,1.0
136,3,76790.0,1.0
137,6,77290.0,1.0
138,4,77510.0,1.0
139,5,77790.0,0.9923182541700303
140,2,78050.0,0.9885612772068605
141,3,78410.0,1.0
142,1,78640.0,0.9476113712225303
143,6,79120.0,1.0
144,5,79560.0,1.0
145,4,79870.0,1.0
146,3,80110.0,1.0
147,2,80380.0,1.0
148,1,80670.0,1.0
149,6,81120.0,1.0
150,5,81390.0,0.9900003478532867
151,3,81740.0,1.0
152,4,82030.0,1.0
153,1,82310.0,0.990028182577354
154,2,82670.0,1.0
155,6,82870.0,1.0
156,3,83430.0,1.0
157,5,83740.0,1.0
158,1,84100.0,1.0
159,4,84350.0,1.0
160,2,84520.0,1.0
161,6,84950.0,1.0
162,3,85270.0,1.0
163,1,85580.0,1.0
164,5,85910.0,1.0
