,Bell No,Actual Time,Confidence
0,1,21160.0,1.0
1,2,21510.0,1.0
2,3,21820.0,1.0
3,4,22130.0,1.0
4,5,22550.0,1.0
5,6,22660.0,1.0
6,1,22910.0,1.0
7,2,23320.0,1.0
8,3,23710.0,1.0
9,4,24010.0,1.0
10,5,24330.0,1.0
11,6,24540.0,1.0
12,1,24950.0,1.0
13,2,25330.0,1.0
14,3,25650.0,1.0
15,4,25980.0,1.0
16,5,26310.0,1.0
17,6,26550.0,1.0
18,1,26790.0,0.942972551312327
19,2,27170.0,1.0
20,3,27530.0,1.0
21,4,27790.0,1.0
22,5,28060.0,1.0
23,6,28510.0,0.9882295803905847
24,1,28890.0,1.0
25,2,29290.0,1.0
26,3,29540.0,1.0
27,4,29830.0,1.0
28,5,30130.0,1.0
29,6,30530.0,1.0
30,1,30760.0,1.0
31,2,31160.0,1.0
32,3,31480.0,1.0
33,4,31750.0,1.0
34,5,32040.0,1.0
35,6,32490.0,1.0
36,1,32870.0,1.0
37,2,33140.0,0.9742082151982693
38,3,33490.0,0.8479868517532593
39,4,33780.0,0.912448581772959
40,5,34090.0,1.0
41,6,34570.0,0.8961469875303549
42,1,34830.0,0.8597514742323759
43,2,35100.0,1.0
44,3,35420.0,0.5466085590623955
45,4,35680.0,0.9791530378611806
46,5,35970.0,1.0
47,6,36490.0,0.9866937408836618
48,1,36910.0,1.0
49,2,37180.0,1.0
50,3,37450.0,0.9052368671146729
51,4,37720.0,1.0
52,5,38010.0,1.0
53,6,38460.0,1.0
54,1,38990.0,0.9923408348541026
55,2,39140.0,1.0
56,3,39420.0,0.9879365315791522
57,4,39680.0,1.0
58,5,39970.0,1.0
59,6,40340.0,1.0
60,2,40940.0,1.0
61,1,41230.0,1.0
62,4,41530.0,1.0
63,3,41750.0,0.9932327620151558
64,5,42000.0,1.0
65,6,42350.0,0.9031049616887271
66,2,42840.0,1.0
67,4,43120.0,1.0
68,1,43390.0,1.0
69,5,43700.0,1.0
70,3,43960.0,1.0
71,6,44290.0,0.9856665401176725
72,4,44890.0,1.0
73,2,45140.0,1.0
74,5,45420.0,1.0
75,1,45670.0,0.9790103301340255
76,3,45900.0,1.0
77,6,46330.0,1.0
78,4,46720.0,1.0
79,5,47020.0,1.0
80,2,47280.0,1.0
81,3,47620.0,1.0
82,1,47840.0,0.9659914967701543
83,6,48280.0,1.0
84,5,48740.0,1.0
85,4,49060.0,1.0
86,3,49240.0,1.0
87,2,49540.0,1.0
88,1,49740.0,0.9700151838522145
89,6,50360.0,1.0
90,5,50640.0,1.0
91,3,51000.0,1.0
92,4,51200.0,0.9917449068712029
93,1,51300.0,1.0
94,2,51680.0,0.9789151544978825
95,6,52180.0,1.0
96,3,52660.0,1.0
97,5,52950.0,0.9898099667285145
98,1,53230.0,1.0
99,4,53540.0,1.0
100,2,53820.0,1.0
101,6,54160.0,1.0
102,3,54540.0,1.0
103,1,54800.0,1.0
104,5,55120.0,1.0
105,2,55430.0,1.0
106,4,55730.0,1.0
107,6,56140.0,0.9851475805126604
108,1,56670.0,1.0
109,3,56840.0,0.9798179792571273
110,2,57200.0,1.0
111,5,57460.0,1.0
112,4,57770.0,1.0
113,6,58170.0,1.0
114,1,58490.0,1.0
115,3,58790.0,1.0
116,5,59070.0,1.0
117,2,59350.0,0.9858764315136893
118,4,59720.0,1.0
119,6,60130.0,1.0
120,3,60540.0,1.0
121,1,61050.0,1.0
122,2,61220.0,1.0
123,5,61490.0,1.0
124,4,61820.0,1.0
125,6,62080.0,1.0
126,3,62440.0,1.0
127,2,62810.0,1.0
