,Bell No,Actual Time,Confidence
0,1,13940.0,1.0
1,2,14320.0,1.0
2,3,14600.0,1.0
3,4,14750.0,1.0
4,5,15110.0,1.0
5,6,15460.0,1.0
6,1,15940.0,1.0
7,2,16230.0,1.0
8,3,16410.0,1.0
9,4,16790.0,1.0
10,5,17020.0,1.0
11,6,17460.0,1.0
12,1,18090.0,1.0
13,2,18190.0,1.0
14,3,18360.0,1.0
15,4,18790.0,1.0
16,5,19120.0,1.0
17,6,19470.0,1.0
18,1,19830.0,1.0
19,2,20130.0,1.0
20,3,20330.0,1.0
21,4,20680.0,1.0
22,5,20930.0,1.0
23,6,21330.0,1.0
24,1,21870.0,0.98491825184561
25,2,22150.0,1.0
26,3,22420.0,1.0
27,4,22680.0,1.0
28,5,23000.0,1.0
29,6,23340.0,1.0
30,1,23700.0,1.0
31,2,23970.0,1.0
32,3,24350.0,1.0
33,4,24640.0,1.0
34,5,24890.0,1.0
35,6,25240.0,1.0
36,1,25850.0,1.0
37,2,26100.0,1.0
38,3,26280.0,1.0
39,4,26620.0,1.0
40,5,26910.0,1.0
41,6,27230.0,1.0
42,1,27610.0,1.0
43,2,27900.0,1.0
44,3,28290.0,1.0
45,4,28570.0,1.0
46,5,28850.0,1.0
47,6,29230.0,1.0
48,1,29710.0,1.0
49,2,29960.0,1.0
50,3,30130.0,1.0
51,4,30520.0,1.0
52,5,30860.0,1.0
53,6,31170.0,1.0
54,1,31560.0,1.0
55,2,31850.0,0.9849494626298465
56,3,32210.0,1.0
57,4,32460.0,0.9864561700849928
58,5,32710.0,0.9628952902201792
59,6,33100.0,0.9941396941079839
60,1,33670.0,1.0
61,2,33900.0,1.0
62,3,34290.0,1.0
63,4,34520.0,1.0
64,5,34800.0,1.0
65,6,35120.0,1.0
66,1,35500.0,1.0
67,2,35820.0,1.0
68,3,36270.0,1.0
69,4,36480.0,1.0
70,5,36710.0,0.9915845262409111
71,6,37110.0,1.0
72,2,37500.0,1.0
73,1,37870.0,0.9918952348245854
74,4,38110.0,1.0
75,3,38620.0,0.9659456981873317
76,5,38860.0,1.0
77,6,39190.0,1.0
78,2,39440.0,1.0
79,4,39730.0,1.0
80,1,40040.0,0.9907732173095333
81,5,40430.0,0.9904482083941769
82,3,40800.0,1.0
83,6,41050.0,1.0
84,4,41480.0,1.0
85,2,41810.0,0.9904606643228554
86,5,42150.0,1.0
87,1,42460.0,1.0
88,3,42890.0,1.0
89,6,43140.0,1.0
90,4,43470.0,1.0
91,5,43690.0,0.9911331109934222
92,2,43960.0,1.0
93,1,44670.0,1.0
94,3,44740.0,1.0
95,6,45010.0,1.0
96,5,45500.0,1.0
97,4,45800.0,1.0
98,3,46250.0,0.9867451831482351
99,2,46540.0,1.0
100,1,46810.0,1.0
101,6,47050.0,1.0
102,5,47470.0,1.0
103,3,48050.0,1.0
104,4,48210.0,1.0
105,1,48430.0,1.0
106,2,48720.0,1.0
107,6,49060.0,1.0
108,3,49650.0,1.0
109,5,49940.0,1.0
110,1,50250.0,1.0
111,4,50500.0,1.0
112,2,50730.0,1.0
113,6,51080.0,1.0
114,3,51560.0,1.0
115,1,51860.0,1.0
116,5,52170.0,1.0
117,2,52370.0,1.0
118,4,52710.0,1.0
119,6,53020.0,1.0
120,3,53370.0,0.9919042172138809
121,1,53620.0,0.9918620227963113
122,2,54020.0,0.9853173891600273
123,5,54400.0,1.0
124,4,54750.0,1.0
125,6,55100.0,1.0
126,1,55440.0,0.7904356258941632
127,2,55680.0,0.9093627843641401
128,3,55730.0,0.4595953719467471
129,4,56310.0,1.0
130,5,56610.0,1.0
131,6,56980.0,1.0
132,2,57460.0,0.9850042751416852
133,3,57580.0,0.9678888922388603
134,1,57820.0,0.9838630984208057
135,4,58040.0,0.9478085267409357
136,5,58580.0,1.0
137,6,58920.0,1.0
138,2,59270.0,0.9520983409257231
139,4,59640.0,1.0
140,3,59740.0,1.0
141,1,59950.0,0.9263971496776383
142,5,60300.0,1.0
143,6,60760.0,1.0
144,4,61300.0,1.0
145,2,61610.0,1.0
146,5,61903.11808452748,0.0763744658503342
147,1,62160.0,0.9904479224584133
148,3,62300.0,1.0
149,6,62670.0,0.9830874774229906
150,4,63170.0,1.0
151,5,63450.0,1.0
152,2,63720.0,0.9794370884012781
153,1,64410.0,1.0
154,3,64600.0,1.0
155,6,64650.0,1.0
156,5,65160.0,1.0
157,4,65500.0,1.0
158,3,66130.0,1.0
159,2,66240.0,1.0
160,1,66560.0,0.9759158933567974
161,6,66760.0,0.9782611826370617
162,5,67110.0,1.0
163,3,67890.0,1.0
164,4,68030.0,1.0
165,1,68200.0,0.9720910813345084
166,2,68430.0,1.0
167,6,68770.0,0.9916867107388265
168,3,69410.0,1.0
169,5,69610.0,1.0
170,1,70010.0,1.0
171,4,70290.0,1.0
172,2,70510.0,1.0
173,6,70830.0,1.0
174,3,71280.0,1.0
175,1,71660.0,1.0
176,5,71920.0,1.0
177,2,72150.0,1.0
178,4,72510.0,1.0
179,6,72840.0,1.0
180,1,73400.0,1.0
181,3,73900.0,1.0
182,2,74040.0,1.0
183,5,74320.0,1.0
184,4,74580.0,1.0
185,6,74950.0,1.0
186,1,75270.0,1.0
187,2,75570.0,1.0
188,3,76150.0,1.0
189,4,76340.0,1.0
190,5,76570.0,1.0
191,6,76940.0,1.0
192,2,77330.0,1.0
