,Bell No,Actual Time,Confidence
0,1,33280.0,1.0
1,2,33560.0,1.0
2,3,33910.0,1.0
3,4,34230.0,1.0
4,5,34390.0,1.0
5,6,34730.0,1.0
6,1,35160.0,1.0
7,2,35460.0,1.0
8,3,35810.0,1.0
9,4,36090.0,1.0
10,5,36360.0,1.0
11,6,36720.0,1.0
12,1,37270.0,1.0
13,2,37540.0,1.0
14,3,37880.0,1.0
15,4,38120.0,1.0
16,5,38380.0,1.0
17,6,38710.0,1.0
18,1,39090.0,1.0
19,2,39390.0,1.0
20,3,39730.0,1.0
21,4,40000.0,1.0
22,5,40250.0,1.0
23,6,40600.0,1.0
24,1,41160.0,0.986995872429465
25,2,41390.0,1.0
26,3,41670.0,0.9869150248351951
27,4,41990.0,1.0
28,5,42330.0,1.0
29,6,42610.0,1.0
30,1,42900.0,1.0
31,2,43270.0,1.0
32,3,43570.0,1.0
33,4,43830.0,1.0
34,5,44120.0,1.0
35,6,44470.0,1.0
36,1,44960.0,1.0
37,2,45220.0,0.9854269610313411
38,3,45520.0,0.9767683129383617
39,4,45850.0,1.0
40,5,46130.0,1.0
41,6,46410.0,1.0
42,1,46770.0,0.985520760710617
43,2,47080.0,1.0
44,3,47390.0,1.0
45,4,47690.0,1.0
46,5,48000.0,1.0
47,6,48280.0,1.0
48,1,48850.0,0.9492449768356879
49,2,49120.0,1.0
50,3,49400.0,0.9754846985363106
51,4,49650.0,1.0
52,5,49990.0,1.0
53,6,50290.0,1.0
54,1,50630.0,1.0
55,2,50940.0,1.0
56,3,51240.0,1.0
57,4,51530.0,1.0
58,5,51830.0,1.0
59,6,52160.0,1.0
60,1,52720.0,0.978566968003363
61,2,52980.0,1.0
62,3,53270.0,0.9739686427709066
63,4,53560.0,1.0
64,5,53810.0,1.0
65,6,54090.0,1.0
66,1,54460.0,1.0
67,2,54790.0,0.9641226996848659
68,3,55140.0,1.0
69,4,55430.0,1.0
70,5,55660.0,1.0
71,6,56000.0,1.0
72,1,56530.0,1.0
73,2,56830.0,0.9223314371276534
74,3,57110.0,1.0
75,4,57440.0,1.0
76,5,57680.0,1.0
77,6,57970.0,1.0
78,1,58330.0,1.0
79,2,58630.0,1.0
80,3,59000.0,1.0
81,4,59250.0,1.0
82,5,59540.0,1.0
83,6,59860.0,1.0
84,1,60430.0,1.0
85,2,60760.0,1.0
86,3,60980.0,0.9765041366864737
87,4,61270.0,1.0
88,5,61580.0,1.0
89,6,61890.0,1.0
90,1,62210.0,0.9842847808915005
91,2,62530.0,1.0
92,3,62900.0,1.0
93,4,63130.0,1.0
94,5,63410.0,1.0
95,6,63760.0,1.0
96,2,64200.0,1.0
97,1,64580.0,1.0
98,4,64850.0,1.0
99,3,65150.0,1.0
100,6,65400.0,1.0
101,5,65650.0,1.0
102,1,66050.0,1.0
103,2,66440.0,1.0
104,4,66750.0,1.0
105,6,67010.0,1.0
106,3,67300.0,0.9830353374238632
107,5,67580.0,1.0
108,2,68010.0,1.0
109,1,68390.0,1.0
110,6,68640.0,1.0
111,4,68920.0,1.0
112,5,69270.0,1.0
113,3,69550.0,1.0
114,2,69800.0,1.0
115,6,70180.0,1.0
116,1,70420.0,0.9855636667272456
117,4,70800.0,1.0
118,3,71080.0,1.0
119,5,71320.0,1.0
120,6,71820.0,1.0
121,2,71990.0,1.0
122,4,72340.0,1.0
123,1,72710.0,1.0
124,5,73060.0,1.0
125,3,73270.0,1.0
126,2,73480.0,1.0
127,6,73630.0,1.0
128,1,74240.0,1.0
129,4,74580.0,1.0
130,3,74840.0,1.0
131,5,75090.0,1.0
132,2,75530.0,1.0
133,6,75810.0,1.0
134,4,76080.0,0.9903708986976705
135,1,76500.0,1.0
136,5,76800.0,1.0
137,3,77000.0,1.0
138,6,77390.0,1.0
139,2,77630.0,1.0
140,4,77890.0,1.0
141,5,78300.0,1.0
142,1,78590.0,1.0
143,3,78910.0,1.0
144,2,79210.0,1.0
145,6,79560.0,1.0
146,5,79960.0,1.0
147,4,80240.0,0.9893857141372453
148,3,80580.0,1.0
149,1,80870.0,1.0
150,2,81110.0,1.0
151,5,81490.0,1.0
152,6,81880.0,1.0
153,4,82150.0,0.9681926676112784
154,1,82430.0,1.0
155,3,82780.0,1.0
156,5,83260.0,1.0
157,2,83610.0,1.0
158,4,83820.0,1.0
159,6,84160.0,1.0
160,3,84450.0,1.0
161,1,84750.0,0.9883442390487333
162,2,85200.0,1.0
163,5,85410.0,1.0
164,6,85720.0,1.0
165,4,86010.0,1.0
166,3,86290.0,1.0
167,1,86600.0,1.0
168,5,87210.0,1.0
169,2,87490.0,0.9880660549159729
