,Bell No,Actual Time,Confidence
0,1,33600.0,1.0
1,2,33930.0,1.0
2,3,34170.0,1.0
3,4,34350.0,1.0
4,5,34640.0,1.0
5,6,34820.0,1.0
6,7,35160.0,1.0
7,8,35330.0,1.0
8,1,35720.0,1.0
9,2,35940.0,1.0
10,3,36240.0,1.0
11,4,36370.0,1.0
12,5,36730.0,1.0
13,6,36910.0,1.0
14,7,37200.0,1.0
15,8,37440.0,1.0
16,1,37960.0,1.0
17,2,38290.0,1.0
18,3,38550.0,1.0
19,4,38790.0,1.0
20,5,39090.0,1.0
21,6,39280.0,1.0
22,7,39510.0,1.0
23,8,39850.0,1.0
24,1,40140.0,1.0
25,2,40330.0,1.0
26,3,40590.0,1.0
27,4,40790.0,1.0
28,5,41110.0,1.0
29,6,41340.0,1.0
30,7,41620.0,1.0
31,8,41930.0,1.0
32,1,42510.0,0.9765758397742753
33,2,42740.0,0.9238970531375618
34,3,43020.0,0.934150861460201
35,4,43210.0,0.8391585242250931
36,5,43490.0,1.0
37,6,43690.0,1.0
38,7,44050.0,0.40099464043703154
39,8,44220.0,0.9920837757974938
40,1,44570.0,0.9409090348362419
41,2,44800.0,0.9940887686516185
42,3,45080.0,0.9948219183640321
43,4,45310.0,0.9763185688202635
44,5,45510.0,1.0
45,6,45750.0,1.0
46,7,46060.0,0.8830676626005021
47,8,46370.0,1.0
48,2,46940.0,0.9662412813991758
49,1,47190.0,1.0
50,3,47510.0,0.826459724957182
51,5,47700.0,1.0
52,4,47960.0,0.9466751098259777
53,7,48140.0,1.0
54,6,48350.0,0.9785645058936537
55,8,48600.0,1.0
56,2,48970.0,0.9781575328911439
57,3,49290.0,1.0
58,1,49530.0,0.9718909398006254
59,4,49740.0,1.0
60,5,50000.0,1.0
61,6,50210.0,1.0
62,7,50490.0,0.9426981610693722
63,8,50750.0,1.0
64,3,51330.0,1.0
65,2,51580.0,0.9788366749162791
66,4,51870.0,1.0
67,1,52140.0,0.9213496271292476
68,5,52330.0,0.8665698386226809
69,7,52560.0,1.0
70,6,52860.0,1.0
71,8,53080.0,1.0
72,2,53310.0,1.0
73,3,53670.0,0.9938550976767511
74,4,53860.0,0.9585417761278324
75,5,54110.0,1.0
76,1,54490.0,1.0
77,6,54640.0,1.0
78,7,54970.0,0.9828183921537117
79,8,55260.0,0.9854761762442507
80,2,55730.0,1.0
81,4,56000.0,0.7108187037468038
82,3,56230.0,1.0
83,1,56480.0,0.8563363089495697
84,5,56740.0,0.9882509323621065
85,7,57040.0,1.0
86,6,57250.0,1.0
87,8,57600.0,1.0
88,4,57770.0,1.0
89,2,58070.0,0.9408517428635362
90,3,58370.0,1.0
91,5,58540.0,1.0
92,1,58870.0,1.0
93,6,59050.0,1.0
94,7,59360.0,0.9926868439686023
95,8,59730.0,1.0
96,4,60230.0,1.0
97,3,60480.0,1.0
98,2,60700.0,1.0
99,1,60950.0,0.9324413451073192
100,5,61230.0,1.0
101,7,61470.0,1.0
102,6,61750.0,1.0
103,8,61930.0,0.9514587994002148
104,3,62340.0,1.0
105,4,62550.0,0.9390773716866836
106,2,62810.0,1.0
107,5,63060.0,0.9657799458836617
108,1,63350.0,1.0
109,6,63560.0,0.9654769912374833
110,7,63820.0,0.989248324563649
111,8,64130.0,0.9891719148857379
112,4,64550.0,1.0
113,3,64930.0,0.9324742226702478
114,5,65110.0,1.0
115,2,65450.0,1.0
116,6,65650.0,1.0
117,1,65930.0,0.40832802956780057
118,7,66060.0,1.0
119,8,66430.0,1.0
120,4,66700.0,0.9788224319329838
121,5,66940.0,1.0
122,3,67220.0,0.9395006329257973
123,6,67430.0,1.0
124,2,67730.0,1.0
125,7,68050.0,0.9572720675878881
126,1,68330.0,0.9603701807294309
127,8,68550.0,0.9861777806933217
128,5,69070.0,1.0
129,4,69390.0,1.0
130,3,69640.0,0.984341409112007
131,2,69920.0,1.0
132,6,70080.0,1.0
133,1,70410.0,0.8615212570872063
134,7,70640.0,0.8889503569852117
135,8,70870.0,0.9730970595083439
136,5,71180.0,1.0
137,3,71470.0,1.0
138,4,71680.0,0.945678781903155
139,6,71910.0,1.0
140,2,72220.0,0.9864789865671704
141,7,72550.0,0.9634069469008358
142,1,72780.0,0.9668136948355485
143,8,73070.0,0.9214898735268049
144,3,73610.0,1.0
145,5,73830.0,1.0
146,4,74100.0,0.9896709098748646
147,2,74400.0,0.9692764232594747
148,6,74570.0,0.9898421275461563
149,1,74900.0,0.8585498314123247
150,7,75110.0,0.9314324281806292
151,8,75400.0,0.9889184067777678
152,3,75670.0,1.0
153,4,75910.0,1.0
154,5,76180.0,0.9871710186845298
155,6,76410.0,1.0
156,2,76670.0,0.9754516532232574
157,7,76970.0,0.9805898167623538
158,1,77250.0,0.9803195039225711
159,8,77540.0,0.9907850627001613
160,4,77990.0,1.0
161,3,78270.0,1.0
162,6,78540.0,0.8938249060636098
163,5,78890.0,1.0
164,7,79100.0,0.9487930131991849
165,2,79340.0,1.0
166,1,79610.0,0.985928436857497
167,8,79830.0,1.0
168,3,80210.0,0.926257681273557
169,4,80400.0,0.9871841012582107
170,6,80620.0,1.0
171,7,80850.0,1.0
172,5,81120.0,0.9895128836599637
173,1,81430.0,0.9732956781779116
174,2,81730.0,1.0
175,8,82000.0,0.9811412300797127
176,3,82560.0,1.0
177,6,82720.0,0.985448738614114
178,4,83030.0,0.9061101193490683
179,5,83270.0,1.0
180,7,83510.0,1.0
181,2,83770.0,1.0
182,1,84170.0,0.5579861422495357
183,8,84270.0,1.0
184,6,84660.0,0.7412638932678318
185,3,84940.0,0.9799355285499358
186,4,85140.0,0.9850028126697097
187,7,85430.0,0.9331740127301505
188,5,85640.0,1.0
189,1,85930.0,0.9665770739744345
190,2,86190.0,0.9409479787629061
191,8,86410.0,0.9926180295545556
192,6,86990.0,1.0
193,4,87280.0,1.0
194,3,87560.0,0.7161556937235213
195,5,87820.0,0.8595565814805052
196,7,88040.0,0.9504073415318798
197,2,88260.0,0.9775920414533091
198,1,88560.0,0.9599891664529134
199,8,88690.0,0.9768238280547071
200,4,89060.0,0.9806486559560451
201,6,89310.0,1.0
202,3,89700.0,0.9904592741531788
203,7,89930.0,1.0
204,5,90070.0,1.0
205,1,90420.0,0.9929757009408572
206,2,90670.0,1.0
207,8,90890.0,0.9091545845340274
208,6,91410.0,0.9895272906895796
209,4,91690.0,1.0
210,7,91920.0,0.9315552788763192
211,3,92250.0,0.9869044329542735
212,5,92460.0,1.0
213,2,92790.0,0.9616237680895862
214,1,93010.0,0.3521311227296904
215,8,93280.0,1.0
216,6,93490.0,1.0
217,7,93800.0,1.0
218,4,94020.0,0.9792123606228974
219,5,94310.0,0.9918554932143784
220,3,94600.0,1.0
221,1,94900.0,0.9721375582771501
222,2,95140.0,0.9613271321217856
223,8,95380.0,0.991145967570555
224,7,95900.0,1.0
225,6,96160.0,1.0
226,4,96440.0,1.0
227,3,96720.0,1.0
228,5,96970.0,1.0
229,2,97250.0,1.0
230,1,97550.0,0.692459105034304
231,8,97670.0,0.9785591295898827
232,7,98070.0,0.9851894628897425
233,4,98250.0,0.9842322037053358
234,6,98480.0,1.0
235,5,98880.0,1.0
236,3,99120.0,0.9843655171846832
237,1,99410.0,0.9374567723255187
238,2,99640.0,0.983708676784762
239,8,99840.0,0.9917962455401331
240,4,100400.0,1.0
241,7,100680.0,1.0
242,6,100960.0,0.981868686621757
243,3,101260.0,1.0
244,5,101460.0,0.984260203346324
245,2,101800.0,1.0
246,1,102020.0,0.5347120697614581
247,8,102230.0,1.0
248,4,102470.0,0.9700123274367612
249,6,102750.0,1.0
250,7,103040.0,0.9726491738718968
251,5,103260.0,1.0
252,3,103590.0,0.9880679134682475
253,1,103880.0,0.9683796237455148
254,2,104140.0,0.9610833189441849
255,8,104450.0,0.966630560095895
256,6,104900.0,1.0
257,4,105180.0,0.9789517911017134
258,5,105410.0,0.9790290489186438
259,7,105670.0,0.9946837791219315
260,1,106010.0,0.5960031225782108
261,3,106320.0,1.0
262,2,106620.0,1.0
263,8,106810.0,1.0
264,4,106980.0,0.7965996876591566
265,6,107280.0,1.0
266,5,107500.0,1.0
267,1,107850.0,1.0
